#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01706406,0.05,167.34558,100000.00000
0.250,0.01706406,0.31,37.68288,100000.00000
0.250,0.01706406,0.28,162.74857,100000.00000
0.250,0.01706406,0.46,114.02608,100000.00000
0.250,0.01706406,0.06,57.24063,100000.00000
0.250,0.01706406,0.03,20.85643,100000.00000
0.250,0.01706406,0.33,31.20725,100000.00000
0.250,0.01706406,0.36,133.40172,100000.00000
0.250,0.01706406,0.24,63.60340,100000.00000
0.250,0.01706406,0.27,171.72919,100000.00000
0.250,0.01706406,0.36,29.45807,100000.00000
0.250,0.01706406,0.43,67.19568,100000.00000
0.250,0.01706406,0.21,147.93481,100000.00000
0.250,0.01706406,0.02,46.58040,100000.00000
0.250,0.01706406,0.12,30.50869,100000.00000
0.250,0.01706406,0.02,15.92865,100000.00000
0.250,0.01706406,0.51,130.45802,100000.00000
0.250,0.01706406,0.25,123.25161,100000.00000
0.250,0.01706406,0.14,112.12029,100000.00000
0.250,0.01706406,0.42,179.43736,100000.00000
0.250,0.01706406,0.16,153.98290,100000.00000
0.250,0.01706406,0.23,105.00638,100000.00000
0.250,0.01706406,0.50,124.60978,100000.00000
0.250,0.01706406,0.27,139.01731,100000.00000
0.250,0.01706406,0.36,143.14812,100000.00000
0.250,0.01706406,0.08,33.57333,100000.00000
0.250,0.01706406,0.49,80.28104,100000.00000
0.250,0.01706406,0.38,147.82631,100000.00000
0.250,0.01706406,0.11,31.87992,100000.00000
0.250,0.01706406,0.10,117.35303,100000.00000
0.250,0.01706406,0.22,170.50474,100000.00000
0.250,0.01706406,0.51,166.39131,100000.00000
0.250,0.01706406,0.17,110.85302,100000.00000
0.250,0.01706406,0.29,31.01758,100000.00000
0.250,0.01706406,0.26,23.24870,100000.00000
0.250,0.01706406,0.38,152.36141,100000.00000
0.250,0.01706406,0.09,61.02536,100000.00000
0.250,0.01706406,0.03,146.78306,100000.00000
0.250,0.01706406,0.32,134.17910,100000.00000
0.250,0.01706406,0.30,165.75703,100000.00000
0.250,0.01706406,0.27,111.65572,100000.00000
0.250,0.01706406,0.50,177.78024,100000.00000
0.250,0.01706406,0.07,177.41708,100000.00000
0.250,0.01706406,0.09,147.10000,100000.00000
0.250,0.01706406,0.08,121.96158,100000.00000
0.250,0.01706406,0.06,169.72375,100000.00000
0.250,0.01706406,0.46,76.53843,100000.00000
0.250,0.01706406,0.17,12.70237,100000.00000
0.250,0.01706406,0.24,82.01822,100000.00000
0.250,0.01706406,0.43,128.87500,100000.00000
0.250,0.01706406,0.23,2.18780,100000.00000
0.250,0.01706406,0.19,178.29093,100000.00000
0.250,0.01706406,0.40,22.43928,100000.00000
0.250,0.01706406,0.48,168.62935,100000.00000
0.250,0.01706406,0.10,29.09317,100000.00000
0.250,0.01706406,0.04,76.95738,100000.00000
0.250,0.01706406,0.41,31.74966,100000.00000
0.250,0.01706406,0.44,52.76659,100000.00000
0.250,0.01706406,0.24,49.92861,100000.00000
0.250,0.01706406,0.25,130.62951,100000.00000
0.250,0.01706406,0.27,20.44037,100000.00000
0.250,0.01706406,0.27,120.88317,100000.00000
0.250,0.01706406,0.02,139.52391,100000.00000
0.250,0.01706406,0.54,140.32521,100000.00000
0.250,0.01706406,0.27,111.26308,100000.00000
0.250,0.01706406,0.16,44.59158,100000.00000
0.250,0.01706406,0.18,50.73386,100000.00000
0.250,0.01706406,0.43,39.95499,100000.00000
0.250,0.01706406,0.40,156.58134,100000.00000
0.250,0.01706406,0.49,48.98613,100000.00000
0.250,0.01706406,0.51,155.16768,100000.00000
0.250,0.01706406,0.12,2.78219,100000.00000
0.250,0.01706406,0.45,137.44904,100000.00000
0.250,0.01706406,0.50,44.94024,100000.00000
0.250,0.01706406,0.44,36.89717,100000.00000
0.250,0.01706406,0.33,42.70082,100000.00000
0.250,0.01706406,0.11,88.65318,100000.00000
0.250,0.01706406,0.23,173.19106,100000.00000
0.250,0.01706406,0.32,96.67918,100000.00000
0.250,0.01706406,0.41,65.23090,100000.00000
0.250,0.01706406,0.16,128.62727,100000.00000
