#e_p,R_H,f_stab
0.000,0.250,1.00000
0.000,0.260,1.00000
0.000,0.270,1.00000
0.000,0.280,1.00000
0.000,0.290,1.00000
0.000,0.300,1.00000
0.000,0.310,1.00000
0.000,0.320,1.00000
0.000,0.330,1.00000
0.000,0.340,1.00000
0.000,0.350,1.00000
0.000,0.360,1.00000
0.000,0.370,1.00000
0.000,0.380,1.00000
0.000,0.390,1.00000
0.000,0.400,1.00000
0.000,0.410,1.00000
0.000,0.420,1.00000
0.000,0.430,1.00000
0.000,0.440,1.00000
0.000,0.450,1.00000
0.000,0.460,1.00000
0.000,0.470,1.00000
0.000,0.480,1.00000
0.000,0.490,1.00000
0.000,0.500,1.00000
0.000,0.510,1.00000
0.000,0.520,1.00000
0.000,0.530,1.00000
0.000,0.540,1.00000
0.000,0.550,1.00000
0.000,0.560,1.00000
0.000,0.570,1.00000
0.000,0.580,1.00000
0.000,0.590,1.00000
0.000,0.600,1.00000
0.000,0.610,0.90000
0.000,0.620,0.80000
0.000,0.630,0.85000
0.000,0.640,0.95000
0.000,0.650,0.85000
0.000,0.660,0.80000
0.000,0.670,0.75000
0.000,0.680,0.70000
0.000,0.690,0.50000
0.000,0.700,0.35000
0.010,0.250,1.00000
0.010,0.260,1.00000
0.010,0.270,1.00000
0.010,0.280,1.00000
0.010,0.290,1.00000
0.010,0.300,1.00000
0.010,0.310,1.00000
0.010,0.320,1.00000
0.010,0.330,1.00000
0.010,0.340,1.00000
0.010,0.350,1.00000
0.010,0.360,1.00000
0.010,0.370,1.00000
0.010,0.380,1.00000
0.010,0.390,1.00000
0.010,0.400,1.00000
0.010,0.410,1.00000
0.010,0.420,1.00000
0.010,0.430,1.00000
0.010,0.440,1.00000
0.010,0.450,1.00000
0.010,0.460,1.00000
0.010,0.470,1.00000
0.010,0.480,1.00000
0.010,0.490,1.00000
0.010,0.500,1.00000
0.010,0.510,1.00000
0.010,0.520,1.00000
0.010,0.530,1.00000
0.010,0.540,1.00000
0.010,0.550,1.00000
0.010,0.560,1.00000
0.010,0.570,1.00000
0.010,0.580,1.00000
0.010,0.590,1.00000
0.010,0.600,1.00000
0.010,0.610,0.80000
0.010,0.620,0.75000
0.010,0.630,0.85000
0.010,0.640,0.95000
0.010,0.650,0.85000
0.010,0.660,0.90000
0.010,0.670,0.80000
0.010,0.680,0.50000
0.010,0.690,0.45000
0.010,0.700,0.35000
0.020,0.250,1.00000
0.020,0.260,1.00000
0.020,0.270,1.00000
0.020,0.280,1.00000
0.020,0.290,1.00000
0.020,0.300,1.00000
0.020,0.310,1.00000
0.020,0.320,1.00000
0.020,0.330,1.00000
0.020,0.340,1.00000
0.020,0.350,1.00000
0.020,0.360,1.00000
0.020,0.370,1.00000
0.020,0.380,1.00000
0.020,0.390,1.00000
0.020,0.400,1.00000
0.020,0.410,1.00000
0.020,0.420,1.00000
0.020,0.430,1.00000
0.020,0.440,1.00000
0.020,0.450,1.00000
0.020,0.460,1.00000
0.020,0.470,1.00000
0.020,0.480,1.00000
0.020,0.490,1.00000
0.020,0.500,1.00000
0.020,0.510,1.00000
0.020,0.520,1.00000
0.020,0.530,1.00000
0.020,0.540,1.00000
0.020,0.550,1.00000
0.020,0.560,1.00000
0.020,0.570,1.00000
0.020,0.580,1.00000
0.020,0.590,1.00000
0.020,0.600,1.00000
0.020,0.610,0.80000
0.020,0.620,0.95000
0.020,0.630,0.95000
0.020,0.640,0.85000
0.020,0.650,0.95000
0.020,0.660,0.95000
0.020,0.670,0.70000
0.020,0.680,0.70000
0.020,0.690,0.70000
0.020,0.700,0.60000
0.030,0.250,1.00000
0.030,0.260,1.00000
0.030,0.270,1.00000
0.030,0.280,1.00000
0.030,0.290,1.00000
0.030,0.300,1.00000
0.030,0.310,1.00000
0.030,0.320,1.00000
0.030,0.330,1.00000
0.030,0.340,1.00000
0.030,0.350,1.00000
0.030,0.360,1.00000
0.030,0.370,1.00000
0.030,0.380,1.00000
0.030,0.390,1.00000
0.030,0.400,1.00000
0.030,0.410,1.00000
0.030,0.420,1.00000
0.030,0.430,1.00000
0.030,0.440,1.00000
0.030,0.450,1.00000
0.030,0.460,1.00000
0.030,0.470,1.00000
0.030,0.480,1.00000
0.030,0.490,1.00000
0.030,0.500,1.00000
0.030,0.510,1.00000
0.030,0.520,1.00000
0.030,0.530,1.00000
0.030,0.540,1.00000
0.030,0.550,1.00000
0.030,0.560,1.00000
0.030,0.570,1.00000
0.030,0.580,1.00000
0.030,0.590,1.00000
0.030,0.600,1.00000
0.030,0.610,0.95000
0.030,0.620,0.95000
0.030,0.630,0.85000
0.030,0.640,1.00000
0.030,0.650,0.85000
0.030,0.660,0.70000
0.030,0.670,0.65000
0.030,0.680,0.60000
0.030,0.690,0.55000
0.030,0.700,0.40000
0.040,0.250,1.00000
0.040,0.260,1.00000
0.040,0.270,1.00000
0.040,0.280,1.00000
0.040,0.290,1.00000
0.040,0.300,1.00000
0.040,0.310,1.00000
0.040,0.320,1.00000
0.040,0.330,1.00000
0.040,0.340,1.00000
0.040,0.350,1.00000
0.040,0.360,1.00000
0.040,0.370,1.00000
0.040,0.380,1.00000
0.040,0.390,1.00000
0.040,0.400,1.00000
0.040,0.410,1.00000
0.040,0.420,1.00000
0.040,0.430,1.00000
0.040,0.440,1.00000
0.040,0.450,1.00000
0.040,0.460,1.00000
0.040,0.470,1.00000
0.040,0.480,1.00000
0.040,0.490,1.00000
0.040,0.500,1.00000
0.040,0.510,1.00000
0.040,0.520,1.00000
0.040,0.530,1.00000
0.040,0.540,1.00000
0.040,0.550,1.00000
0.040,0.560,1.00000
0.040,0.570,1.00000
0.040,0.580,1.00000
0.040,0.590,1.00000
0.040,0.600,0.90000
0.040,0.610,0.70000
0.040,0.620,0.85000
0.040,0.630,0.80000
0.040,0.640,0.75000
0.040,0.650,0.80000
0.040,0.660,0.60000
0.040,0.670,0.60000
0.040,0.680,0.55000
0.040,0.690,0.55000
0.040,0.700,0.40000
0.050,0.250,1.00000
0.050,0.260,1.00000
0.050,0.270,1.00000
0.050,0.280,1.00000
0.050,0.290,1.00000
0.050,0.300,1.00000
0.050,0.310,1.00000
0.050,0.320,1.00000
0.050,0.330,1.00000
0.050,0.340,1.00000
0.050,0.350,1.00000
0.050,0.360,1.00000
0.050,0.370,1.00000
0.050,0.380,1.00000
0.050,0.390,1.00000
0.050,0.400,1.00000
0.050,0.410,1.00000
0.050,0.420,1.00000
0.050,0.430,1.00000
0.050,0.440,1.00000
0.050,0.450,1.00000
0.050,0.460,1.00000
0.050,0.470,1.00000
0.050,0.480,1.00000
0.050,0.490,1.00000
0.050,0.500,1.00000
