#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.57,122.04291,0.18775
0.250,0.02016585,0.48,44.16284,9.09999
0.250,0.02016585,0.41,75.40658,7308.69461
0.250,0.02016585,0.50,164.78789,278.11055
0.250,0.02016585,0.55,179.08341,2.77682
0.250,0.02016585,0.36,70.64012,13505.66326
0.250,0.02016585,0.25,55.71497,100000.00000
0.250,0.02016585,0.13,157.92715,100000.00000
0.250,0.02016585,0.01,8.36107,100000.00000
0.250,0.02016585,0.12,164.67559,100000.00000
0.250,0.02016585,0.38,6.03584,100000.00000
0.250,0.02016585,0.58,23.19658,4.14900
0.250,0.02016585,0.54,109.39262,0.15762
0.250,0.02016585,0.33,31.20725,100000.00000
0.250,0.02016585,0.09,61.02536,100000.00000
0.250,0.02016585,0.04,88.88321,100000.00000
0.250,0.02016585,0.52,63.12813,15.52051
0.250,0.02016585,0.60,29.45229,6.53178
0.250,0.02016585,0.56,39.63298,2.77682
0.250,0.02016585,0.60,136.48737,0.37781
0.250,0.02016585,0.21,142.48423,100000.00000
0.250,0.02016585,0.20,162.96876,100000.00000
0.250,0.02016585,0.00,28.08336,100000.00000
0.250,0.02016585,0.10,128.19226,100000.00000
0.250,0.02016585,0.27,24.12274,100000.00000
0.250,0.02016585,0.21,98.91520,100000.00000
0.250,0.02016585,0.01,109.35807,100000.00000
0.250,0.02016585,0.57,153.10471,1.33742
0.250,0.02016585,0.01,35.94128,100000.00000
0.250,0.02016585,0.47,107.53436,9.11158
0.250,0.02016585,0.51,85.35856,1.44172
0.250,0.02016585,0.18,82.48552,100000.00000
0.250,0.02016585,0.44,42.87290,6840.52273
0.250,0.02016585,0.40,60.33550,5384.51546
0.250,0.02016585,0.53,42.97989,9.08608
0.250,0.02016585,0.16,171.87575,100000.00000
0.250,0.02016585,0.16,128.62727,100000.00000
0.250,0.02016585,0.10,124.54114,100000.00000
0.250,0.02016585,0.32,105.63140,15534.70319
0.250,0.02016585,0.39,170.51100,14376.57100
0.250,0.02016585,0.41,96.73121,16239.77606
0.250,0.02016585,0.35,149.51149,53167.53464
0.250,0.02016585,0.20,57.47646,100000.00000
0.250,0.02016585,0.01,52.58604,100000.00000
0.250,0.02016585,0.56,89.12637,0.16457
0.250,0.02016585,0.03,127.23432,100000.00000
0.250,0.02016585,0.49,78.26892,2.64933
0.250,0.02016585,0.55,23.31269,6.57350
0.250,0.02016585,0.52,57.37545,1.48808
0.250,0.02016585,0.21,147.93481,100000.00000
0.250,0.02016585,0.44,71.49304,11.64502
0.250,0.02016585,0.50,169.93068,9.00264
0.250,0.02016585,0.16,99.78373,100000.00000
0.250,0.02016585,0.51,57.43809,4.01920
0.250,0.02016585,0.45,53.00384,357.63229
0.250,0.02016585,0.36,11.96933,100000.00000
0.250,0.02016585,0.56,89.25763,0.16457
0.250,0.02016585,0.15,48.74981,100000.00000
0.250,0.02016585,0.03,146.78306,100000.00000
0.250,0.02016585,0.32,22.96446,100000.00000
0.250,0.02016585,0.18,35.24240,100000.00000
0.250,0.02016585,0.26,23.24870,100000.00000
0.250,0.02016585,0.53,19.88534,5.24536
0.250,0.02016585,0.50,33.32393,7.78343
0.250,0.02016585,0.45,61.52712,174.78188
0.250,0.02016585,0.49,147.43842,23.30858
0.250,0.02016585,0.10,109.15723,100000.00000
0.250,0.02016585,0.16,17.61015,100000.00000
0.250,0.02016585,0.18,146.60433,100000.00000
0.250,0.02016585,0.43,139.59497,7967.98476
0.250,0.02016585,0.06,57.24063,100000.00000
0.250,0.02016585,0.38,56.10997,13247.31725
0.250,0.02016585,0.01,79.22745,100000.00000
0.250,0.02016585,0.32,38.06064,100000.00000
0.250,0.02016585,0.45,104.94748,10.27052
0.250,0.02016585,0.46,46.41978,829.75846
0.250,0.02016585,0.10,115.56570,100000.00000
0.250,0.02016585,0.59,23.41552,2.78145
0.250,0.02016585,0.41,104.50590,15981.50423
0.250,0.02016585,0.38,22.94796,14686.99508
0.250,0.02016585,0.49,24.62735,25.96023
0.250,0.02016585,0.31,66.40445,30900.00197
0.250,0.02016585,0.25,148.05670,100000.00000
0.250,0.02016585,0.31,134.54477,29253.64363
0.250,0.02016585,0.58,113.72643,0.12980
0.250,0.02016585,0.30,90.61511,100000.00000
0.250,0.02016585,0.36,146.98790,76238.65694
0.250,0.02016585,0.32,96.67918,84681.09270
0.250,0.02016585,0.52,159.47600,5.22218
0.250,0.02016585,0.34,138.50873,22906.40235
0.250,0.02016585,0.33,27.51465,100000.00000
0.250,0.02016585,0.26,150.89917,100000.00000
0.250,0.02016585,0.20,59.15962,100000.00000
0.250,0.02016585,0.21,14.64278,100000.00000
0.250,0.02016585,0.08,33.57333,100000.00000
0.250,0.02016585,0.33,73.87143,100000.00000
0.250,0.02016585,0.35,9.32824,100000.00000
0.250,0.02016585,0.24,82.01822,100000.00000
0.250,0.02016585,0.60,49.18671,2.59834
0.250,0.02016585,0.47,29.93101,61.88501
0.250,0.02016585,0.17,110.85302,100000.00000
0.250,0.02016585,0.51,41.40159,19.36123
0.250,0.02016585,0.06,147.24266,100000.00000
0.250,0.02016585,0.51,125.53565,1.45099
0.250,0.02016585,0.04,101.02990,100000.00000
0.250,0.02016585,0.22,135.60807,100000.00000
0.250,0.02016585,0.17,4.77204,100000.00000
0.250,0.02016585,0.45,37.41953,3873.24998
0.250,0.02016585,0.31,111.28586,21733.06025
0.250,0.02016585,0.31,95.78043,100000.00000
0.250,0.02016585,0.41,132.75023,13301.74102
0.250,0.02016585,0.26,99.97771,100000.00000
0.250,0.02016585,0.50,152.85522,33.56519
0.250,0.02016585,0.39,3.25983,100000.00000
0.250,0.02016585,0.53,75.19802,1.52053
0.250,0.02016585,0.08,124.36879,100000.00000
0.250,0.02016585,0.26,170.05783,100000.00000
0.250,0.02016585,0.35,11.40750,39044.46529
0.250,0.02016585,0.38,44.72805,6742.21691
0.250,0.02016585,0.37,69.10042,76562.41345
0.250,0.02016585,0.26,138.41773,100000.00000
