#nR_H,a_s,e_s,MA_s,tcol
0.250,0.01217904,0.57,122.04291,0.08050
0.250,0.01217904,0.48,44.16284,3.04501
0.250,0.01217904,0.41,75.40658,31629.27215
0.250,0.01217904,0.50,164.78789,6.64701
0.250,0.01217904,0.55,179.08341,1.78197
0.250,0.01217904,0.12,164.67559,100000.00000
0.250,0.01217904,0.21,142.48423,100000.00000
0.250,0.01217904,0.33,31.20725,100000.00000
0.250,0.01217904,0.09,61.02536,100000.00000
0.250,0.01217904,0.20,162.96876,100000.00000
0.250,0.01217904,0.25,55.71497,100000.00000
0.250,0.01217904,0.01,8.36107,100000.00000
0.250,0.01217904,0.38,6.03584,100000.00000
0.250,0.01217904,0.58,23.19658,2.44123
0.250,0.01217904,0.54,109.39262,0.08159
0.250,0.01217904,0.36,70.64012,100000.00000
0.250,0.01217904,0.13,157.92715,100000.00000
0.250,0.01217904,0.00,28.08336,100000.00000
0.250,0.01217904,0.01,109.35807,100000.00000
0.250,0.01217904,0.57,153.10471,0.63642
0.250,0.01217904,0.27,24.12274,100000.00000
0.250,0.01217904,0.44,42.87290,2377.30619
0.250,0.01217904,0.21,98.91520,100000.00000
0.250,0.01217904,0.18,82.48552,100000.00000
0.250,0.01217904,0.01,35.94128,100000.00000
0.250,0.01217904,0.47,107.53436,2.49671
0.250,0.01217904,0.51,85.35856,0.67558
0.250,0.01217904,0.10,128.19226,100000.00000
0.250,0.01217904,0.04,88.88321,100000.00000
0.250,0.01217904,0.52,63.12813,1.28371
0.250,0.01217904,0.60,29.45229,1.24999
0.250,0.01217904,0.56,39.63298,1.88858
0.250,0.01217904,0.60,136.48737,0.54068
0.250,0.01217904,0.16,171.87575,100000.00000
0.250,0.01217904,0.16,128.62727,100000.00000
0.250,0.01217904,0.40,60.33550,74434.61810
0.250,0.01217904,0.53,42.97989,1.24237
0.250,0.01217904,0.03,127.23432,100000.00000
0.250,0.01217904,0.49,78.26892,0.68646
0.250,0.01217904,0.55,23.31269,1.59485
0.250,0.01217904,0.52,57.37545,1.23584
0.250,0.01217904,0.16,99.78373,100000.00000
0.250,0.01217904,0.51,57.43809,1.22279
0.250,0.01217904,0.45,53.00384,91.14460
0.250,0.01217904,0.21,147.93481,100000.00000
0.250,0.01217904,0.44,71.49304,28.38090
0.250,0.01217904,0.50,169.93068,7.70880
0.250,0.01217904,0.15,48.74981,100000.00000
0.250,0.01217904,0.20,57.47646,100000.00000
0.250,0.01217904,0.32,105.63140,100000.00000
0.250,0.01217904,0.01,52.58604,100000.00000
0.250,0.01217904,0.56,89.12637,0.07724
0.250,0.01217904,0.10,109.15723,100000.00000
0.250,0.01217904,0.03,146.78306,100000.00000
0.250,0.01217904,0.32,22.96446,100000.00000
0.250,0.01217904,0.10,124.54114,100000.00000
0.250,0.01217904,0.35,149.51149,100000.00000
0.250,0.01217904,0.18,146.60433,100000.00000
0.250,0.01217904,0.16,17.61015,100000.00000
0.250,0.01217904,0.18,35.24240,100000.00000
0.250,0.01217904,0.26,23.24870,100000.00000
0.250,0.01217904,0.53,19.88534,4.89116
0.250,0.01217904,0.50,33.32393,12.06036
0.250,0.01217904,0.45,61.52712,3.06785
0.250,0.01217904,0.49,147.43842,4.22319
0.250,0.01217904,0.36,11.96933,100000.00000
0.250,0.01217904,0.56,89.25763,0.07724
0.250,0.01217904,0.39,170.51100,100000.00000
0.250,0.01217904,0.41,104.50590,13571.21608
0.250,0.01217904,0.01,79.22745,100000.00000
0.250,0.01217904,0.46,46.41978,187.02478
0.250,0.01217904,0.41,96.73121,29978.98284
0.250,0.01217904,0.43,139.59497,75692.42244
0.250,0.01217904,0.06,57.24063,100000.00000
0.250,0.01217904,0.38,56.10997,88554.39446
0.250,0.01217904,0.33,27.51465,100000.00000
0.250,0.01217904,0.26,150.89917,100000.00000
0.250,0.01217904,0.10,115.56570,100000.00000
0.250,0.01217904,0.59,23.41552,1.85594
0.250,0.01217904,0.32,96.67918,100000.00000
0.250,0.01217904,0.52,159.47600,8.44530
0.250,0.01217904,0.20,59.15962,100000.00000
0.250,0.01217904,0.36,146.98790,100000.00000
0.250,0.01217904,0.21,14.64278,100000.00000
0.250,0.01217904,0.31,66.40445,100000.00000
0.250,0.01217904,0.32,38.06064,100000.00000
0.250,0.01217904,0.45,104.94748,6.04650
0.250,0.01217904,0.30,90.61511,100000.00000
0.250,0.01217904,0.17,110.85302,100000.00000
0.250,0.01217904,0.51,41.40159,12.71853
0.250,0.01217904,0.08,33.57333,100000.00000
0.250,0.01217904,0.35,9.32824,100000.00000
0.250,0.01217904,0.33,73.87143,100000.00000
0.250,0.01217904,0.22,135.60807,100000.00000
0.250,0.01217904,0.25,148.05670,100000.00000
0.250,0.01217904,0.38,22.94796,100000.00000
0.250,0.01217904,0.49,24.62735,6.69488
0.250,0.01217904,0.31,134.54477,100000.00000
0.250,0.01217904,0.58,113.72643,0.06092
0.250,0.01217904,0.06,147.24266,100000.00000
0.250,0.01217904,0.51,125.53565,0.69516
0.250,0.01217904,0.24,82.01822,100000.00000
0.250,0.01217904,0.60,49.18671,0.62554
0.250,0.01217904,0.47,29.93101,13.94459
0.250,0.01217904,0.28,63.10576,100000.00000
0.250,0.01217904,0.26,138.41773,100000.00000
0.250,0.01217904,0.12,153.54170,100000.00000
0.250,0.01217904,0.49,138.76420,26.57826
0.250,0.01217904,0.17,4.77204,100000.00000
0.250,0.01217904,0.31,111.28586,100000.00000
0.250,0.01217904,0.34,138.50873,100000.00000
0.250,0.01217904,0.02,21.96688,100000.00000
0.250,0.01217904,0.52,110.85537,0.61683
0.250,0.01217904,0.26,99.97771,100000.00000
0.250,0.01217904,0.50,152.85522,9.01753
0.250,0.01217904,0.04,101.02990,100000.00000
0.250,0.01217904,0.46,161.01940,4801.50918
0.250,0.01217904,0.45,37.41953,480.60413
0.250,0.01217904,0.41,132.75023,5068.90408
0.250,0.01217904,0.26,170.05783,100000.00000
0.250,0.01217904,0.00,32.72849,100000.00000
0.250,0.01217904,0.10,18.26488,100000.00000
0.250,0.01217904,0.00,28.07901,100000.00000
0.250,0.01217904,0.07,120.98440,100000.00000
0.250,0.01217904,0.31,80.53423,100000.00000
0.250,0.01217904,0.48,70.07321,1.78088
0.250,0.01217904,0.08,124.36879,100000.00000
0.250,0.01217904,0.31,95.78043,100000.00000
0.250,0.01217904,0.39,3.25983,100000.00000
0.250,0.01217904,0.53,75.19802,0.68428
0.250,0.01217904,0.08,114.03535,100000.00000
0.250,0.01217904,0.02,161.06892,100000.00000
0.250,0.01217904,0.09,95.33710,100000.00000
0.250,0.01217904,0.03,69.96191,100000.00000
0.250,0.01217904,0.35,11.40750,100000.00000
0.250,0.01217904,0.03,64.21560,100000.00000
0.250,0.01217904,0.54,110.41405,0.06854
0.250,0.01217904,0.48,108.56738,9.05669
0.250,0.01217904,0.37,69.10042,100000.00000
0.250,0.01217904,0.47,37.15583,492.08573
0.250,0.01217904,0.43,28.10747,100000.00000
0.250,0.01217904,0.23,156.34784,100000.00000
0.250,0.01217904,0.60,49.25280,0.62554
0.250,0.01217904,0.08,31.38596,100000.00000
0.250,0.01217904,0.54,33.55889,2.46407
0.250,0.01217904,0.60,81.24966,0.16536
0.250,0.01217904,0.52,138.09389,1.25107
0.250,0.01217904,0.22,84.35892,100000.00000
0.250,0.01217904,0.41,31.74966,100000.00000
0.250,0.01217904,0.29,161.42191,100000.00000
0.250,0.01217904,0.03,48.84283,100000.00000
0.250,0.01217904,0.07,45.32081,100000.00000
0.250,0.01217904,0.20,171.01115,100000.00000
0.250,0.01217904,0.24,112.96045,100000.00000
0.250,0.01217904,0.59,174.39801,1.20973
0.250,0.01217904,0.59,175.22801,0.71366
