#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03682886,0.48,131.86298,174.18349
0.250,0.03682886,0.43,118.60631,308.03041
0.250,0.03682886,0.46,164.57378,2210.21046
0.250,0.03682886,0.38,61.57471,11304.41581
0.250,0.03682886,0.36,119.73550,14567.49590
0.250,0.03682886,0.33,33.58206,80030.90638
0.250,0.03682886,0.22,100.51277,100000.00000
0.250,0.03682886,0.19,132.31279,100000.00000
0.250,0.03682886,0.30,7.07618,100000.00000
0.250,0.03682886,0.47,117.25567,58.19083
0.250,0.03682886,0.16,98.86080,100000.00000
0.250,0.03682886,0.31,161.13723,100000.00000
0.250,0.03682886,0.17,31.17634,100000.00000
0.250,0.03682886,0.12,30.50869,100000.00000
0.250,0.03682886,0.28,63.10576,100000.00000
0.250,0.03682886,0.03,177.63965,100000.00000
0.250,0.03682886,0.02,93.61224,100000.00000
0.250,0.03682886,0.12,69.31759,100000.00000
0.250,0.03682886,0.07,177.41708,100000.00000
0.250,0.03682886,0.06,169.72375,100000.00000
0.250,0.03682886,0.20,113.73070,100000.00000
0.250,0.03682886,0.32,65.35481,100000.00000
0.250,0.03682886,0.46,94.62423,2383.96490
0.250,0.03682886,0.26,179.39463,100000.00000
0.250,0.03682886,0.08,40.76924,100000.00000
0.250,0.03682886,0.35,84.88371,9591.38458
0.250,0.03682886,0.24,81.81739,100000.00000
0.250,0.03682886,0.45,25.22037,2166.51013
0.250,0.03682886,0.37,54.24802,9517.09573
0.250,0.03682886,0.50,164.78789,23.35757
0.250,0.03682886,0.05,29.01983,100000.00000
0.250,0.03682886,0.32,122.23842,27435.72454
0.250,0.03682886,0.47,37.15583,2389.14212
0.250,0.03682886,0.35,74.13137,67256.89175
0.250,0.03682886,0.47,49.32994,614.98534
0.250,0.03682886,0.26,10.14759,100000.00000
0.250,0.03682886,0.33,20.16700,83253.82153
0.250,0.03682886,0.44,41.59346,2373.15280
0.250,0.03682886,0.12,153.20460,100000.00000
0.250,0.03682886,0.22,66.71559,100000.00000
0.250,0.03682886,0.01,8.36107,100000.00000
0.250,0.03682886,0.50,131.80048,22.68253
0.250,0.03682886,0.16,2.59083,100000.00000
0.250,0.03682886,0.20,57.47646,100000.00000
0.250,0.03682886,0.39,101.72397,2053.06318
0.250,0.03682886,0.20,1.95078,100000.00000
0.250,0.03682886,0.06,57.24063,100000.00000
0.250,0.03682886,0.10,116.93392,100000.00000
0.250,0.03682886,0.07,90.48222,100000.00000
0.250,0.03682886,0.00,94.45616,100000.00000
0.250,0.03682886,0.00,107.75853,100000.00000
0.250,0.03682886,0.00,28.07901,100000.00000
0.250,0.03682886,0.30,90.61511,100000.00000
0.250,0.03682886,0.20,162.96876,100000.00000
0.250,0.03682886,0.49,123.91243,15.90351
0.250,0.03682886,0.31,43.64469,100000.00000
0.250,0.03682886,0.42,12.07377,4892.38907
0.250,0.03682886,0.23,174.47446,100000.00000
0.250,0.03682886,0.38,147.82631,9166.14872
0.250,0.03682886,0.31,48.46378,100000.00000
0.250,0.03682886,0.33,31.20725,74556.21427
0.250,0.03682886,0.17,29.32820,100000.00000
0.250,0.03682886,0.04,59.56164,100000.00000
0.250,0.03682886,0.39,62.22528,7307.17131
0.250,0.03682886,0.05,163.36196,100000.00000
0.250,0.03682886,0.43,39.95499,12083.29312
0.250,0.03682886,0.27,41.15570,100000.00000
0.250,0.03682886,0.23,94.98620,100000.00000
0.250,0.03682886,0.10,98.77208,100000.00000
0.250,0.03682886,0.42,84.97205,259.91371
0.250,0.03682886,0.42,74.63234,1936.43552
