#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03445273,0.48,131.86298,157.14589
0.250,0.03445273,0.43,118.60631,281.01474
0.250,0.03445273,0.46,164.57378,2020.03379
0.250,0.03445273,0.38,61.57471,4124.45326
0.250,0.03445273,0.36,119.73550,9093.91248
0.250,0.03445273,0.32,65.35481,43888.24307
0.250,0.03445273,0.33,33.58206,59492.62793
0.250,0.03445273,0.02,93.61224,100000.00000
0.250,0.03445273,0.07,177.41708,100000.00000
0.250,0.03445273,0.46,94.62423,99.23069
0.250,0.03445273,0.19,132.31279,100000.00000
0.250,0.03445273,0.47,117.25567,55.46691
0.250,0.03445273,0.06,169.72375,100000.00000
0.250,0.03445273,0.08,40.76924,100000.00000
0.250,0.03445273,0.28,63.10576,100000.00000
0.250,0.03445273,0.03,177.63965,100000.00000
0.250,0.03445273,0.31,161.13723,100000.00000
0.250,0.03445273,0.22,100.51277,100000.00000
0.250,0.03445273,0.12,30.50869,100000.00000
0.250,0.03445273,0.16,98.86080,100000.00000
0.250,0.03445273,0.30,7.07618,100000.00000
0.250,0.03445273,0.20,113.73070,100000.00000
0.250,0.03445273,0.17,31.17634,100000.00000
0.250,0.03445273,0.26,179.39463,100000.00000
0.250,0.03445273,0.12,69.31759,100000.00000
0.250,0.03445273,0.24,81.81739,100000.00000
0.250,0.03445273,0.45,25.22037,421.06402
0.250,0.03445273,0.05,29.01983,100000.00000
0.250,0.03445273,0.37,54.24802,13097.58184
0.250,0.03445273,0.50,164.78789,29.62790
0.250,0.03445273,0.35,84.88371,28457.88331
0.250,0.03445273,0.35,74.13137,28669.31596
0.250,0.03445273,0.47,49.32994,125.76330
0.250,0.03445273,0.32,122.23842,35553.47049
0.250,0.03445273,0.47,37.15583,130.82033
0.250,0.03445273,0.10,116.93392,100000.00000
0.250,0.03445273,0.26,10.14759,100000.00000
0.250,0.03445273,0.33,20.16700,94830.97524
0.250,0.03445273,0.22,66.71559,100000.00000
0.250,0.03445273,0.00,28.07901,100000.00000
0.250,0.03445273,0.12,153.20460,100000.00000
0.250,0.03445273,0.06,57.24063,100000.00000
0.250,0.03445273,0.16,2.59083,100000.00000
0.250,0.03445273,0.01,8.36107,100000.00000
0.250,0.03445273,0.50,131.80048,17.76432
0.250,0.03445273,0.20,57.47646,100000.00000
0.250,0.03445273,0.20,1.95078,100000.00000
0.250,0.03445273,0.39,101.72397,1844.90619
0.250,0.03445273,0.07,90.48222,100000.00000
0.250,0.03445273,0.20,162.96876,100000.00000
0.250,0.03445273,0.49,123.91243,10.35217
0.250,0.03445273,0.00,94.45616,100000.00000
0.250,0.03445273,0.00,107.75853,100000.00000
0.250,0.03445273,0.44,41.59346,10899.08705
0.250,0.03445273,0.31,43.64469,100000.00000
0.250,0.03445273,0.38,147.82631,13272.17113
0.250,0.03445273,0.23,174.47446,100000.00000
0.250,0.03445273,0.30,90.61511,100000.00000
0.250,0.03445273,0.04,59.56164,100000.00000
0.250,0.03445273,0.39,62.22528,4364.28708
0.250,0.03445273,0.42,12.07377,7027.18524
0.250,0.03445273,0.31,48.46378,100000.00000
0.250,0.03445273,0.02,46.58040,100000.00000
0.250,0.03445273,0.17,29.32820,100000.00000
0.250,0.03445273,0.43,39.95499,4392.81765
0.250,0.03445273,0.30,113.02207,63204.89416
0.250,0.03445273,0.38,115.40657,13447.61965
0.250,0.03445273,0.23,94.98620,100000.00000
0.250,0.03445273,0.42,74.63234,2425.42981
0.250,0.03445273,0.27,41.15570,100000.00000
0.250,0.03445273,0.09,43.53341,100000.00000
0.250,0.03445273,0.10,98.77208,100000.00000
0.250,0.03445273,0.42,84.97205,480.66662
0.250,0.03445273,0.11,113.60495,100000.00000
0.250,0.03445273,0.33,31.20725,100000.00000
0.250,0.03445273,0.32,22.96446,100000.00000
0.250,0.03445273,0.24,162.20844,100000.00000
0.250,0.03445273,0.04,155.35862,100000.00000
0.250,0.03445273,0.43,27.94324,2704.47763
0.250,0.03445273,0.05,163.36196,100000.00000
0.250,0.03445273,0.11,4.37687,100000.00000
0.250,0.03445273,0.36,67.85000,6436.16452
0.250,0.03445273,0.43,100.73526,118.85322
0.250,0.03445273,0.20,171.10929,100000.00000
0.250,0.03445273,0.20,52.77794,100000.00000
0.250,0.03445273,0.39,97.69040,3763.50945
0.250,0.03445273,0.30,31.86189,100000.00000
0.250,0.03445273,0.12,17.49177,100000.00000
0.250,0.03445273,0.23,174.57819,100000.00000
0.250,0.03445273,0.33,28.92265,100000.00000
0.250,0.03445273,0.04,138.77409,100000.00000
0.250,0.03445273,0.02,33.27380,100000.00000
0.250,0.03445273,0.24,177.51793,100000.00000
0.250,0.03445273,0.16,128.62727,100000.00000
0.250,0.03445273,0.31,33.21378,100000.00000
0.250,0.03445273,0.49,106.24152,6.32517
0.250,0.03445273,0.21,79.47549,100000.00000
0.250,0.03445273,0.43,128.87500,2303.72974
0.250,0.03445273,0.29,31.01758,100000.00000
0.250,0.03445273,0.29,85.31310,100000.00000
0.250,0.03445273,0.12,57.04596,100000.00000
0.250,0.03445273,0.08,124.36879,100000.00000
0.250,0.03445273,0.25,148.05670,100000.00000
0.250,0.03445273,0.06,154.93150,100000.00000
0.250,0.03445273,0.37,90.48967,4140.00740
0.250,0.03445273,0.37,60.28301,8986.00149
0.250,0.03445273,0.09,130.67202,100000.00000
0.250,0.03445273,0.02,165.93736,100000.00000
0.250,0.03445273,0.01,170.79940,100000.00000
0.250,0.03445273,0.38,26.98514,15463.83349
0.250,0.03445273,0.49,143.89486,20.01074
0.250,0.03445273,0.23,105.00638,100000.00000
0.250,0.03445273,0.28,162.74857,100000.00000
0.250,0.03445273,0.43,28.10747,4199.37707
0.250,0.03445273,0.45,112.34680,87.39299
0.250,0.03445273,0.40,20.38285,7174.22224
0.250,0.03445273,0.27,100.96883,100000.00000
0.250,0.03445273,0.13,143.24268,100000.00000
0.250,0.03445273,0.02,107.62200,100000.00000
0.250,0.03445273,0.42,37.78301,8581.37671
0.250,0.03445273,0.14,94.00379,100000.00000
0.250,0.03445273,0.45,170.72160,2202.11287
0.250,0.03445273,0.03,144.39546,100000.00000
0.250,0.03445273,0.37,83.28236,2309.49072
0.250,0.03445273,0.28,88.58093,89430.42076
0.250,0.03445273,0.44,2.34035,2442.66617
0.250,0.03445273,0.38,129.60658,60187.08232
0.250,0.03445273,0.31,134.54477,100000.00000
0.250,0.03445273,0.26,49.21327,100000.00000
0.250,0.03445273,0.14,138.59884,100000.00000
0.250,0.03445273,0.23,40.24725,100000.00000
0.250,0.03445273,0.10,109.15723,100000.00000
0.250,0.03445273,0.18,115.79188,100000.00000
0.250,0.03445273,0.07,50.15636,100000.00000
0.250,0.03445273,0.06,65.45333,100000.00000
0.250,0.03445273,0.24,8.18035,100000.00000
0.250,0.03445273,0.02,15.92865,100000.00000
0.250,0.03445273,0.21,18.20208,100000.00000
0.250,0.03445273,0.21,111.27925,100000.00000
0.250,0.03445273,0.35,60.58877,10703.73649
0.250,0.03445273,0.10,124.54114,100000.00000
0.250,0.03445273,0.04,101.02990,100000.00000
0.250,0.03445273,0.35,145.77740,37070.14054
0.250,0.03445273,0.17,114.31686,100000.00000
0.250,0.03445273,0.45,61.52712,1735.13181
0.250,0.03445273,0.09,95.33710,100000.00000
0.250,0.03445273,0.08,24.75377,100000.00000
0.250,0.03445273,0.04,21.52696,100000.00000
0.250,0.03445273,0.49,48.98613,1995.60785
0.250,0.03445273,0.17,110.85302,100000.00000
0.250,0.03445273,0.39,167.78129,42413.70635
0.250,0.03445273,0.46,161.01940,238.42592
0.250,0.03445273,0.06,60.77073,100000.00000
0.250,0.03445273,0.14,6.46961,100000.00000
0.250,0.03445273,0.38,130.00546,4144.23108
0.250,0.03445273,0.50,157.13025,23.47871
0.250,0.03445273,0.50,102.23014,3.36963
0.250,0.03445273,0.31,83.25625,44259.37342
0.250,0.03445273,0.12,77.07315,100000.00000
0.250,0.03445273,0.45,68.34463,328.43284
0.250,0.03445273,0.32,89.71960,100000.00000
0.250,0.03445273,0.05,91.54272,100000.00000
0.250,0.03445273,0.39,170.51100,23006.29782
0.250,0.03445273,0.19,66.96326,100000.00000
0.250,0.03445273,0.40,156.58134,2729.45224
0.250,0.03445273,0.10,0.91109,100000.00000
0.250,0.03445273,0.30,143.89387,100000.00000
0.250,0.03445273,0.43,94.39025,358.27813
0.250,0.03445273,0.10,128.19226,100000.00000
0.250,0.03445273,0.28,24.54687,100000.00000
0.250,0.03445273,0.04,94.09191,100000.00000
0.250,0.03445273,0.21,25.73850,100000.00000
0.250,0.03445273,0.04,88.88321,100000.00000
0.250,0.03445273,0.31,66.68498,37024.07340
0.250,0.03445273,0.34,30.75977,45783.34692
0.250,0.03445273,0.19,135.81772,100000.00000
0.250,0.03445273,0.19,31.93912,100000.00000
0.250,0.03445273,0.30,30.40831,100000.00000
0.250,0.03445273,0.42,161.64977,6747.95108
0.250,0.03445273,0.32,134.17910,48678.26301
0.250,0.03445273,0.02,98.40785,100000.00000
0.250,0.03445273,0.10,15.14519,100000.00000
0.250,0.03445273,0.03,13.32804,100000.00000
0.250,0.03445273,0.27,120.88317,100000.00000
0.250,0.03445273,0.21,147.93481,100000.00000
0.250,0.03445273,0.09,20.42523,100000.00000
0.250,0.03445273,0.12,173.45160,100000.00000
0.250,0.03445273,0.30,165.75703,100000.00000
0.250,0.03445273,0.07,9.26618,100000.00000
0.250,0.03445273,0.26,99.97771,100000.00000
0.250,0.03445273,0.42,15.36294,2710.89598
0.250,0.03445273,0.25,170.96398,100000.00000
0.250,0.03445273,0.21,15.13922,100000.00000
0.250,0.03445273,0.36,151.52918,17985.32105
0.250,0.03445273,0.02,21.96688,100000.00000
0.250,0.03445273,0.01,82.09260,100000.00000
0.250,0.03445273,0.22,139.88645,100000.00000
0.250,0.03445273,0.24,105.17658,100000.00000
0.250,0.03445273,0.21,16.41710,100000.00000
0.250,0.03445273,0.39,105.52137,329.78897
0.250,0.03445273,0.23,116.85785,100000.00000
0.250,0.03445273,0.02,35.27692,100000.00000
0.250,0.03445273,0.35,9.32824,29991.34974
0.250,0.03445273,0.33,64.09741,24441.25303
0.250,0.03445273,0.25,130.62951,100000.00000
0.250,0.03445273,0.47,1.97925,1857.72735
0.250,0.03445273,0.29,88.67126,100000.00000
0.250,0.03445273,0.08,57.74041,100000.00000
0.250,0.03445273,0.10,115.56570,100000.00000
0.250,0.03445273,0.02,89.13184,100000.00000
0.250,0.03445273,0.23,67.47670,100000.00000
0.250,0.03445273,0.37,21.04165,60536.75263
0.250,0.03445273,0.49,16.48477,276.26309
0.250,0.03445273,0.17,90.56453,100000.00000
0.250,0.03445273,0.43,32.74706,2563.34137
0.250,0.03445273,0.01,52.58604,100000.00000
0.250,0.03445273,0.46,21.19519,1981.55996
0.250,0.03445273,0.18,162.96312,100000.00000
0.250,0.03445273,0.25,145.89960,100000.00000
0.250,0.03445273,0.05,41.18367,100000.00000
0.250,0.03445273,0.41,31.74966,8964.76920
0.250,0.03445273,0.05,5.65725,100000.00000
0.250,0.03445273,0.20,57.60893,100000.00000
0.250,0.03445273,0.37,41.79828,84079.72748
0.250,0.03445273,0.27,111.26308,70982.79782
0.250,0.03445273,0.12,173.99787,100000.00000
0.250,0.03445273,0.45,32.65838,1828.42036
0.250,0.03445273,0.06,41.02833,100000.00000
0.250,0.03445273,0.12,100.22423,100000.00000
0.250,0.03445273,0.11,31.87992,100000.00000
0.250,0.03445273,0.24,82.01822,100000.00000
0.250,0.03445273,0.09,140.37760,100000.00000
0.250,0.03445273,0.45,99.36849,91.79784
0.250,0.03445273,0.14,67.60493,100000.00000
0.250,0.03445273,0.31,111.28586,43921.93938
