#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03273676,0.57,122.04291,84760.14592
0.250,0.03273676,0.21,142.48423,100000.00000
0.250,0.03273676,0.25,55.71497,100000.00000
0.250,0.03273676,0.01,8.36107,100000.00000
0.250,0.03273676,0.12,164.67559,100000.00000
0.250,0.03273676,0.36,70.64012,100000.00000
0.250,0.03273676,0.13,157.92715,100000.00000
0.250,0.03273676,0.38,6.03584,100000.00000
0.250,0.03273676,0.00,28.08336,100000.00000
0.250,0.03273676,0.09,61.02536,100000.00000
0.250,0.03273676,0.33,31.20725,100000.00000
0.250,0.03273676,0.20,162.96876,100000.00000
0.250,0.03273676,0.01,109.35807,100000.00000
0.250,0.03273676,0.27,24.12274,100000.00000
0.250,0.03273676,0.10,128.19226,100000.00000
0.250,0.03273676,0.41,75.40658,100000.00000
0.250,0.03273676,0.48,44.16284,100000.00000
0.250,0.03273676,0.21,98.91520,100000.00000
0.250,0.03273676,0.04,88.88321,100000.00000
0.250,0.03273676,0.18,82.48552,100000.00000
0.250,0.03273676,0.57,153.10471,22638.76240
0.250,0.03273676,0.01,35.94128,100000.00000
0.250,0.03273676,0.20,57.47646,100000.00000
0.250,0.03273676,0.16,99.78373,100000.00000
0.250,0.03273676,0.01,52.58604,100000.00000
0.250,0.03273676,0.44,42.87290,100000.00000
0.250,0.03273676,0.03,127.23432,100000.00000
0.250,0.03273676,0.35,149.51149,100000.00000
0.250,0.03273676,0.58,23.19658,100000.00000
0.250,0.03273676,0.10,124.54114,100000.00000
0.250,0.03273676,0.03,146.78306,100000.00000
0.250,0.03273676,0.21,147.93481,100000.00000
0.250,0.03273676,0.32,105.63140,100000.00000
0.250,0.03273676,0.18,146.60433,100000.00000
0.250,0.03273676,0.16,171.87575,100000.00000
0.250,0.03273676,0.40,60.33550,100000.00000
0.250,0.03273676,0.18,35.24240,100000.00000
0.250,0.03273676,0.50,164.78789,100000.00000
0.250,0.03273676,0.52,63.12813,100000.00000
0.250,0.03273676,0.16,17.61015,100000.00000
0.250,0.03273676,0.32,22.96446,100000.00000
0.250,0.03273676,0.36,146.98790,100000.00000
0.250,0.03273676,0.51,57.43809,100000.00000
0.250,0.03273676,0.47,107.53436,100000.00000
0.250,0.03273676,0.60,29.45229,87392.09054
0.250,0.03273676,0.10,109.15723,100000.00000
0.250,0.03273676,0.56,89.12637,100000.00000
0.250,0.03273676,0.30,90.61511,100000.00000
0.250,0.03273676,0.49,78.26892,100000.00000
0.250,0.03273676,0.54,109.39262,100000.00000
0.250,0.03273676,0.32,38.06064,100000.00000
0.250,0.03273676,0.10,115.56570,100000.00000
0.250,0.03273676,0.31,66.40445,100000.00000
0.250,0.03273676,0.44,71.49304,100000.00000
0.250,0.03273676,0.17,110.85302,100000.00000
0.250,0.03273676,0.55,179.08341,100000.00000
0.250,0.03273676,0.39,170.51100,100000.00000
0.250,0.03273676,0.08,33.57333,100000.00000
0.250,0.03273676,0.53,42.97989,100000.00000
0.250,0.03273676,0.35,9.32824,100000.00000
0.250,0.03273676,0.21,14.64278,100000.00000
0.250,0.03273676,0.56,39.63298,45133.76002
0.250,0.03273676,0.60,136.48737,7016.61408
0.250,0.03273676,0.45,53.00384,100000.00000
0.250,0.03273676,0.34,138.50873,100000.00000
0.250,0.03273676,0.51,85.35856,100000.00000
0.250,0.03273676,0.59,23.41552,93874.28151
0.250,0.03273676,0.20,59.15962,100000.00000
0.250,0.03273676,0.26,170.05783,100000.00000
0.250,0.03273676,0.38,56.10997,100000.00000
0.250,0.03273676,0.55,23.31269,100000.00000
0.250,0.03273676,0.15,48.74981,100000.00000
0.250,0.03273676,0.45,104.94748,100000.00000
0.250,0.03273676,0.26,99.97771,100000.00000
0.250,0.03273676,0.50,169.93068,100000.00000
0.250,0.03273676,0.51,41.40159,100000.00000
0.250,0.03273676,0.41,96.73121,100000.00000
0.250,0.03273676,0.16,128.62727,100000.00000
0.250,0.03273676,0.06,57.24063,100000.00000
0.250,0.03273676,0.10,18.26488,100000.00000
0.250,0.03273676,0.00,28.07901,100000.00000
0.250,0.03273676,0.02,21.96688,100000.00000
0.250,0.03273676,0.36,11.96933,100000.00000
0.250,0.03273676,0.37,69.10042,100000.00000
0.250,0.03273676,0.26,150.89917,100000.00000
0.250,0.03273676,0.26,23.24870,100000.00000
0.250,0.03273676,0.17,4.77204,100000.00000
0.250,0.03273676,0.24,82.01822,100000.00000
0.250,0.03273676,0.41,31.74966,100000.00000
0.250,0.03273676,0.12,153.54170,100000.00000
0.250,0.03273676,0.43,139.59497,100000.00000
0.250,0.03273676,0.04,101.02990,100000.00000
0.250,0.03273676,0.52,57.37545,100000.00000
0.250,0.03273676,0.50,152.85522,100000.00000
0.250,0.03273676,0.32,96.67918,100000.00000
0.250,0.03273676,0.00,32.72849,100000.00000
0.250,0.03273676,0.25,148.05670,100000.00000
0.250,0.03273676,0.01,79.22745,100000.00000
0.250,0.03273676,0.06,147.24266,100000.00000
0.250,0.03273676,0.07,45.32081,100000.00000
0.250,0.03273676,0.03,48.84283,100000.00000
0.250,0.03273676,0.60,49.18671,17960.64733
0.250,0.03273676,0.52,110.85537,100000.00000
0.250,0.03273676,0.56,89.25763,100000.00000
0.250,0.03273676,0.35,145.77740,100000.00000
0.250,0.03273676,0.31,111.28586,100000.00000
0.250,0.03273676,0.53,19.88534,100000.00000
0.250,0.03273676,0.35,11.40750,100000.00000
0.250,0.03273676,0.35,45.83532,100000.00000
0.250,0.03273676,0.31,134.54477,100000.00000
0.250,0.03273676,0.49,138.76420,100000.00000
0.250,0.03273676,0.45,37.41953,100000.00000
0.250,0.03273676,0.03,64.21560,100000.00000
0.250,0.03273676,0.33,27.51465,100000.00000
0.250,0.03273676,0.52,159.47600,100000.00000
0.250,0.03273676,0.29,161.42191,100000.00000
0.250,0.03273676,0.51,125.53565,100000.00000
0.250,0.03273676,0.08,124.36879,100000.00000
0.250,0.03273676,0.46,46.41978,100000.00000
0.250,0.03273676,0.12,173.45160,100000.00000
0.250,0.03273676,0.06,75.13398,100000.00000
0.250,0.03273676,0.47,29.93101,100000.00000
0.250,0.03273676,0.23,156.34784,100000.00000
0.250,0.03273676,0.58,113.72643,34445.61434
0.250,0.03273676,0.54,141.54210,67283.97056
0.250,0.03273676,0.54,110.41405,49772.14526
0.250,0.03273676,0.41,104.50590,100000.00000
0.250,0.03273676,0.41,132.75023,100000.00000
0.250,0.03273676,0.50,33.32393,100000.00000
0.250,0.03273676,0.60,49.25280,66997.63000
0.250,0.03273676,0.38,44.72805,100000.00000
0.250,0.03273676,0.28,63.10576,100000.00000
0.250,0.03273676,0.19,31.93912,100000.00000
0.250,0.03273676,0.46,161.01940,100000.00000
0.250,0.03273676,0.08,31.38596,100000.00000
0.250,0.03273676,0.29,32.73842,100000.00000
0.250,0.03273676,0.08,114.03535,100000.00000
0.250,0.03273676,0.26,138.41773,100000.00000
0.250,0.03273676,0.32,102.74009,100000.00000
0.250,0.03273676,0.38,22.94796,100000.00000
0.250,0.03273676,0.01,54.83048,100000.00000
0.250,0.03273676,0.48,89.34592,100000.00000
0.250,0.03273676,0.09,95.33710,100000.00000
0.250,0.03273676,0.39,3.25983,100000.00000
0.250,0.03273676,0.13,92.04163,100000.00000
0.250,0.03273676,0.48,108.56738,100000.00000
0.250,0.03273676,0.22,135.60807,100000.00000
0.250,0.03273676,0.22,84.35892,100000.00000
0.250,0.03273676,0.30,31.86189,100000.00000
0.250,0.03273676,0.30,82.94018,100000.00000
0.250,0.03273676,0.45,61.52712,100000.00000
0.250,0.03273676,0.02,161.06892,100000.00000
0.250,0.03273676,0.57,135.48899,92282.73410
0.250,0.03273676,0.42,101.67140,100000.00000
0.250,0.03273676,0.43,28.10747,100000.00000
0.250,0.03273676,0.54,33.55889,100000.00000
0.250,0.03273676,0.04,21.52696,100000.00000
0.250,0.03273676,0.60,81.24966,3749.98928
0.250,0.03273676,0.33,44.27239,100000.00000
0.250,0.03273676,0.03,69.96191,100000.00000
0.250,0.03273676,0.49,24.62735,100000.00000
0.250,0.03273676,0.06,41.02833,100000.00000
0.250,0.03273676,0.45,48.25145,100000.00000
0.250,0.03273676,0.08,121.96158,100000.00000
0.250,0.03273676,0.53,75.19802,100000.00000
0.250,0.03273676,0.42,37.78301,100000.00000
0.250,0.03273676,0.47,37.15583,100000.00000
0.250,0.03273676,0.31,80.53423,100000.00000
0.250,0.03273676,0.12,168.50786,100000.00000
0.250,0.03273676,0.40,168.18606,100000.00000
