#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,1.04180437e+01,2.68486549e-02,1.10156805e+04,6.97263033e+01,0.05137422
1.00000e+02,1.54716547e+03,1.00261875e-03,1.04180437e+01,2.68486549e-02,1.10134246e+04,6.97263033e+01,0.05142878
2.00000e+02,1.54472069e+03,1.00522689e-03,1.04180437e+01,2.68486549e-02,1.10111830e+04,6.97263033e+01,0.05148303
3.00000e+02,1.54229631e+03,1.00782453e-03,1.04180437e+01,2.68486549e-02,1.10089554e+04,6.97263033e+01,0.05153697
4.00000e+02,1.53989205e+03,1.01041178e-03,1.04180437e+01,2.68486549e-02,1.10067417e+04,6.97263033e+01,0.05159060
5.00000e+02,1.53750759e+03,1.01298875e-03,1.04180437e+01,2.68486549e-02,1.10045417e+04,6.97263033e+01,0.05164392
6.00000e+02,1.53514265e+03,1.01555556e-03,1.04180437e+01,2.68486549e-02,1.10023552e+04,6.97263033e+01,0.05169695
7.00000e+02,1.53279694e+03,1.01811229e-03,1.04180437e+01,2.68486549e-02,1.10001820e+04,6.97263033e+01,0.05174968
8.00000e+02,1.53047017e+03,1.02065907e-03,1.04180437e+01,2.68486549e-02,1.09980219e+04,6.97263033e+01,0.05180212
9.00000e+02,1.52816208e+03,1.02319599e-03,1.04180437e+01,2.68486549e-02,1.09958749e+04,6.97263033e+01,0.05185426
1.00000e+03,1.52587240e+03,1.02572315e-03,1.04180437e+01,2.68486549e-02,1.09937407e+04,6.97263033e+01,0.05190612
2.00000e+03,1.50393253e+03,1.05047922e-03,1.04180437e+01,2.68486549e-02,1.09730721e+04,6.97263033e+01,0.05240972
3.00000e+03,1.48357464e+03,1.07435929e-03,1.04180437e+01,2.68486549e-02,1.09535309e+04,6.97263033e+01,0.05288808
4.00000e+03,1.46460409e+03,1.09744128e-03,1.04180437e+01,2.68486549e-02,1.09349968e+04,6.97263033e+01,0.05334380
5.00000e+03,1.44685909e+03,1.11979244e-03,1.04180437e+01,2.68486549e-02,1.09173680e+04,6.97263033e+01,0.05377907
6.00000e+03,1.43020373e+03,1.14147128e-03,1.04180437e+01,2.68486549e-02,1.09005574e+04,6.97263033e+01,0.05419578
7.00000e+03,1.41452291e+03,1.16252905e-03,1.04180437e+01,2.68486549e-02,1.08844902e+04,6.97263033e+01,0.05459557
8.00000e+03,1.39971828e+03,1.18301095e-03,1.04180437e+01,2.68486549e-02,1.08691012e+04,6.97263033e+01,0.05497986
9.00000e+03,1.38570524e+03,1.20295707e-03,1.04180437e+01,2.68486549e-02,1.08543338e+04,6.97263033e+01,0.05534990
1.00000e+04,1.37241050e+03,1.22240315e-03,1.04180437e+01,2.68486549e-02,1.08401381e+04,6.97263033e+01,0.05570678
1.10000e+04,1.35977021e+03,1.24138120e-03,1.04180437e+01,2.68486549e-02,1.08264701e+04,6.97263033e+01,0.05605148
