#N,e_p,a_res,k_left,k_right,e_int,a_int
3,0.00,6.93361e-01,8.15586e-01,5.71137e-01,-1.96807e-01,-9.71610e-01
3,0.01,6.93361e-01,1.07984e+00,3.06882e-01,-1.96807e-01,-9.71610e-01
3,0.02,6.93361e-01,1.23980e+00,1.46920e-01,-1.96807e-01,-9.71610e-01
3,0.03,6.93361e-01,1.36236e+00,2.43607e-02,-1.96807e-01,-9.71610e-01
3,0.04,6.93361e-01,1.46545e+00,-7.87283e-02,-1.96807e-01,-9.71610e-01
3,0.05,6.93361e-01,1.55600e+00,-1.69278e-01,-1.96807e-01,-9.71610e-01
3,0.06,6.93361e-01,1.63755e+00,-2.50832e-01,-1.96807e-01,-9.71610e-01
3,0.07,6.93361e-01,1.71221e+00,-3.25487e-01,-1.96807e-01,-9.71610e-01
3,0.08,6.93361e-01,1.78133e+00,-3.94605e-01,-1.96807e-01,-9.71610e-01
3,0.09,6.93361e-01,1.84585e+00,-4.59124e-01,-1.96807e-01,-9.71610e-01
3,0.10,6.93361e-01,1.90645e+00,-5.19725e-01,-1.96807e-01,-9.71610e-01
3,0.11,6.93361e-01,1.96364e+00,-5.76918e-01,-1.96807e-01,-9.71610e-01
3,0.12,6.93361e-01,2.01782e+00,-6.31096e-01,-1.96807e-01,-9.71610e-01
3,0.13,6.93361e-01,2.06929e+00,-6.82570e-01,-1.96807e-01,-9.71610e-01
3,0.14,6.93361e-01,2.11831e+00,-7.31588e-01,-1.96807e-01,-9.71610e-01
3,0.15,6.93361e-01,2.16508e+00,-7.78354e-01,-1.96807e-01,-9.71610e-01
3,0.16,6.93361e-01,2.20976e+00,-8.23036e-01,-1.96807e-01,-9.71610e-01
3,0.17,6.93361e-01,2.25250e+00,-8.65774e-01,-1.96807e-01,-9.71610e-01
3,0.18,6.93361e-01,2.29341e+00,-9.06687e-01,-1.96807e-01,-9.71610e-01
3,0.19,6.93361e-01,2.33260e+00,-9.45876e-01,-1.96807e-01,-9.71610e-01
3,0.20,6.93361e-01,2.37015e+00,-9.83428e-01,-1.96807e-01,-9.71610e-01
3,0.21,6.93361e-01,2.40614e+00,-1.01942e+00,-1.96807e-01,-9.71610e-01
3,0.22,6.93361e-01,2.44063e+00,-1.05391e+00,-1.96807e-01,-9.71610e-01
3,0.23,6.93361e-01,2.47368e+00,-1.08696e+00,-1.96807e-01,-9.71610e-01
3,0.24,6.93361e-01,2.50534e+00,-1.11862e+00,-1.96807e-01,-9.71610e-01
3,0.25,6.93361e-01,2.53565e+00,-1.14893e+00,-1.96807e-01,-9.71610e-01
3,0.26,6.93361e-01,2.56466e+00,-1.17793e+00,-1.96807e-01,-9.71610e-01
3,0.27,6.93361e-01,2.59238e+00,-1.20566e+00,-1.96807e-01,-9.71610e-01
3,0.28,6.93361e-01,2.61887e+00,-1.23214e+00,-1.96807e-01,-9.71610e-01
3,0.29,6.93361e-01,2.64413e+00,-1.25741e+00,-1.96807e-01,-9.71610e-01
3,0.30,6.93361e-01,2.66821e+00,-1.28148e+00,-1.96807e-01,-9.71610e-01
3,0.31,6.93361e-01,2.69111e+00,-1.30438e+00,-1.96807e-01,-9.71610e-01
3,0.32,6.93361e-01,2.71285e+00,-1.32613e+00,-1.96807e-01,-9.71610e-01
3,0.33,6.93361e-01,2.73347e+00,-1.34674e+00,-1.96807e-01,-9.71610e-01
3,0.34,6.93361e-01,2.75296e+00,-1.36623e+00,-1.96807e-01,-9.71610e-01
3,0.35,6.93361e-01,2.77134e+00,-1.38462e+00,-1.96807e-01,-9.71610e-01
3,0.36,6.93361e-01,2.78863e+00,-1.40191e+00,-1.96807e-01,-9.71610e-01
3,0.37,6.93361e-01,2.80484e+00,-1.41812e+00,-1.96807e-01,-9.71610e-01
3,0.38,6.93361e-01,2.81998e+00,-1.43325e+00,-1.96807e-01,-9.71610e-01
3,0.39,6.93361e-01,2.83405e+00,-1.44732e+00,-1.96807e-01,-9.71610e-01
3,0.40,6.93361e-01,2.84706e+00,-1.46034e+00,-1.96807e-01,-9.71610e-01
3,0.41,6.93361e-01,2.85902e+00,-1.47230e+00,-1.96807e-01,-9.71610e-01
3,0.42,6.93361e-01,2.86994e+00,-1.48322e+00,-1.96807e-01,-9.71610e-01
3,0.43,6.93361e-01,2.87982e+00,-1.49310e+00,-1.96807e-01,-9.71610e-01
3,0.44,6.93361e-01,2.88867e+00,-1.50194e+00,-1.96807e-01,-9.71610e-01
3,0.45,6.93361e-01,2.89648e+00,-1.50976e+00,-1.96807e-01,-9.71610e-01
3,0.46,6.93361e-01,2.90327e+00,-1.51654e+00,-1.96807e-01,-9.71610e-01
3,0.47,6.93361e-01,2.90903e+00,-1.52231e+00,-1.96807e-01,-9.71610e-01
