#time,a_sat,e_sat,n_sat,n_p,Omega_p
0.00000e+00,3.10610e-02,9.62190e-04,1.54655e+03,4.88786e+00,1.10157e+04
1.00000e+02,3.10928e-02,8.92227e-04,1.54418e+03,4.89698e+00,1.10134e+04
2.00000e+02,3.11260e-02,9.31116e-04,1.54171e+03,4.89774e+00,1.10112e+04
3.00000e+02,3.11589e-02,9.43351e-04,1.53927e+03,4.89801e+00,1.10090e+04
4.00000e+02,3.11902e-02,9.30938e-04,1.53695e+03,4.89546e+00,1.10067e+04
5.00000e+02,3.12228e-02,9.57381e-04,1.53454e+03,4.89822e+00,1.10045e+04
6.00000e+02,3.12549e-02,9.89985e-04,1.53218e+03,4.89739e+00,1.10024e+04
7.00000e+02,3.12868e-02,9.83971e-04,1.52983e+03,4.89719e+00,1.10002e+04
8.00000e+02,3.13179e-02,9.99396e-04,1.52756e+03,4.90367e+00,1.09980e+04
9.00000e+02,3.13493e-02,9.42251e-04,1.52526e+03,4.89715e+00,1.09959e+04
1.00000e+03,3.13800e-02,1.04346e-03,1.52302e+03,4.89786e+00,1.09937e+04
2.00000e+03,3.16844e-02,9.73099e-04,1.50113e+03,4.89818e+00,1.09731e+04
3.00000e+03,3.19722e-02,1.03370e-03,1.48091e+03,4.89754e+00,1.09535e+04
4.00000e+03,3.22475e-02,1.05653e-03,1.46199e+03,4.89785e+00,1.09350e+04
5.00000e+03,3.25094e-02,1.11465e-03,1.44436e+03,4.89675e+00,1.09174e+04
6.00000e+03,3.27601e-02,1.11060e-03,1.42780e+03,4.89719e+00,1.09006e+04
7.00000e+03,3.30009e-02,1.06648e-03,1.41221e+03,4.90834e+00,1.08845e+04
8.00000e+03,3.32325e-02,1.04987e-03,1.39747e+03,4.89731e+00,1.08691e+04
9.00000e+03,3.34567e-02,1.13099e-03,1.38345e+03,4.89647e+00,1.08543e+04
1.00000e+04,3.36705e-02,1.20399e-03,1.37029e+03,4.89763e+00,1.08401e+04
1.10000e+04,3.38799e-02,1.21792e-03,1.35761e+03,4.89790e+00,1.08265e+04
1.20000e+04,3.40797e-02,1.15760e-03,1.34568e+03,4.90012e+00,1.08133e+04
1.30000e+04,3.42743e-02,1.12420e-03,1.33424e+03,4.89802e+00,1.08006e+04
1.40000e+04,3.44642e-02,1.22590e-03,1.32323e+03,4.89524e+00,1.07883e+04
1.50000e+04,3.46464e-02,1.17335e-03,1.31281e+03,4.89783e+00,1.07764e+04
1.60000e+04,3.48256e-02,1.26497e-03,1.30268e+03,4.89800e+00,1.07648e+04
1.70000e+04,3.49972e-02,1.23738e-03,1.29312e+03,4.89706e+00,1.07536e+04
1.80000e+04,3.51664e-02,1.24637e-03,1.28379e+03,4.89721e+00,1.07428e+04
1.90000e+04,3.53299e-02,1.24894e-03,1.27489e+03,4.89608e+00,1.07322e+04
2.00000e+04,3.54894e-02,1.41026e-03,1.26631e+03,4.89734e+00,1.07219e+04
2.10000e+04,3.56465e-02,1.38777e-03,1.25794e+03,4.90129e+00,1.07119e+04
2.20000e+04,3.57984e-02,1.25939e-03,1.24995e+03,4.89756e+00,1.07022e+04
2.30000e+04,3.59470e-02,1.28741e-03,1.24220e+03,4.89744e+00,1.06927e+04
2.40000e+04,3.60940e-02,1.43350e-03,1.23462e+03,4.89811e+00,1.06834e+04
2.50000e+04,3.62358e-02,1.40598e-03,1.22738e+03,4.89775e+00,1.06744e+04
2.60000e+04,3.63758e-02,1.36342e-03,1.22030e+03,4.90020e+00,1.06656e+04
2.70000e+04,3.65114e-02,1.49455e-03,1.21351e+03,4.89788e+00,1.06569e+04
2.80000e+04,3.66451e-02,1.45392e-03,1.20688e+03,4.89660e+00,1.06485e+04
2.90000e+04,3.67756e-02,1.53027e-03,1.20046e+03,4.89773e+00,1.06402e+04
3.00000e+04,3.69054e-02,1.45804e-03,1.19413e+03,4.89780e+00,1.06321e+04
3.10000e+04,3.70312e-02,1.42848e-03,1.18805e+03,4.89698e+00,1.06242e+04
3.20000e+04,3.71552e-02,1.54490e-03,1.18211e+03,4.89729e+00,1.06165e+04
3.30000e+04,3.72748e-02,1.53252e-03,1.17643e+03,4.89234e+00,1.06089e+04
3.40000e+04,3.73951e-02,1.56915e-03,1.17075e+03,4.89713e+00,1.06014e+04
3.50000e+04,3.75128e-02,1.49682e-03,1.16524e+03,4.89600e+00,1.05941e+04
3.60000e+04,3.76272e-02,1.60941e-03,1.15994e+03,4.89775e+00,1.05869e+04
3.70000e+04,3.77397e-02,1.52897e-03,1.15475e+03,4.89790e+00,1.05799e+04
3.80000e+04,3.78509e-02,1.48605e-03,1.14967e+03,4.89871e+00,1.05730e+04
3.90000e+04,3.79620e-02,1.53744e-03,1.14463e+03,4.89803e+00,1.05662e+04
4.00000e+04,3.80687e-02,1.68376e-03,1.13982e+03,4.89499e+00,1.05595e+04
4.10000e+04,3.81745e-02,1.46632e-03,1.13508e+03,4.89792e+00,1.05529e+04
4.20000e+04,3.82804e-02,1.63736e-03,1.13038e+03,4.89696e+00,1.05465e+04
4.30000e+04,3.83835e-02,1.69432e-03,1.12582e+03,4.89717e+00,1.05401e+04
4.40000e+04,3.84835e-02,1.58269e-03,1.12144e+03,4.89742e+00,1.05339e+04
4.50000e+04,3.85833e-02,1.74169e-03,1.11709e+03,4.89653e+00,1.05277e+04
