#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,4.88795361e+00,4.67968280e-02,1.10156805e+04,3.27143003e+01,0.03101982
1.00000e+02,1.54716547e+03,1.00261875e-03,4.88795361e+00,4.67968280e-02,1.10134247e+04,3.27143003e+01,0.03105276
2.00000e+02,1.54472069e+03,1.00522689e-03,4.88795361e+00,4.67968280e-02,1.10111831e+04,3.27143003e+01,0.03108552
3.00000e+02,1.54229631e+03,1.00782453e-03,4.88795361e+00,4.67968280e-02,1.10089555e+04,3.27143003e+01,0.03111809
4.00000e+02,1.53989205e+03,1.01041178e-03,4.88795361e+00,4.67968280e-02,1.10067419e+04,3.27143003e+01,0.03115047
5.00000e+02,1.53750759e+03,1.01298875e-03,4.88795361e+00,4.67968280e-02,1.10045419e+04,3.27143003e+01,0.03118267
6.00000e+02,1.53514265e+03,1.01555556e-03,4.88795361e+00,4.67968280e-02,1.10023554e+04,3.27143003e+01,0.03121468
7.00000e+02,1.53279694e+03,1.01811229e-03,4.88795361e+00,4.67968280e-02,1.10001822e+04,3.27143003e+01,0.03124652
8.00000e+02,1.53047017e+03,1.02065907e-03,4.88795361e+00,4.67968280e-02,1.09980222e+04,3.27143003e+01,0.03127818
9.00000e+02,1.52816208e+03,1.02319599e-03,4.88795361e+00,4.67968280e-02,1.09958752e+04,3.27143003e+01,0.03130967
1.00000e+03,1.52587240e+03,1.02572315e-03,4.88795361e+00,4.67968280e-02,1.09937411e+04,3.27143003e+01,0.03134098
2.00000e+03,1.50393253e+03,1.05047922e-03,4.88795361e+00,4.67968280e-02,1.09730728e+04,3.27143003e+01,0.03164505
3.00000e+03,1.48357463e+03,1.07435929e-03,4.88795361e+00,4.67968280e-02,1.09535319e+04,3.27143003e+01,0.03193389
4.00000e+03,1.46460409e+03,1.09744128e-03,4.88795361e+00,4.67968280e-02,1.09349982e+04,3.27143003e+01,0.03220905
5.00000e+03,1.44685908e+03,1.11979245e-03,4.88795361e+00,4.67968280e-02,1.09173697e+04,3.27143003e+01,0.03247187
6.00000e+03,1.43020372e+03,1.14147129e-03,4.88795361e+00,4.67968280e-02,1.09005595e+04,3.27143003e+01,0.03272348
7.00000e+03,1.41452290e+03,1.16252907e-03,4.88795361e+00,4.67968280e-02,1.08844925e+04,3.27143003e+01,0.03296487
8.00000e+03,1.39971826e+03,1.18301098e-03,4.88795361e+00,4.67968280e-02,1.08691039e+04,3.27143003e+01,0.03319691
9.00000e+03,1.38570522e+03,1.20295711e-03,4.88795361e+00,4.67968280e-02,1.08543368e+04,3.27143003e+01,0.03342034
1.00000e+04,1.37241048e+03,1.22240319e-03,4.88795361e+00,4.67968280e-02,1.08401414e+04,3.27143003e+01,0.03363582
1.10000e+04,1.35977019e+03,1.24138125e-03,4.88795361e+00,4.67968280e-02,1.08264738e+04,3.27143003e+01,0.03384395
1.20000e+04,1.34772837e+03,1.25992011e-03,4.88795361e+00,4.67968280e-02,1.08132948e+04,3.27143003e+01,0.03404525
1.30000e+04,1.33623573e+03,1.27804581e-03,4.88795361e+00,4.67968280e-02,1.08005695e+04,3.27143003e+01,0.03424018
1.40000e+04,1.32524862e+03,1.29578197e-03,4.88795361e+00,4.67968280e-02,1.07882668e+04,3.27143003e+01,0.03442917
1.50000e+04,1.31472825e+03,1.31315010e-03,4.88795361e+00,4.67968280e-02,1.07763587e+04,3.27143003e+01,0.03461259
1.60000e+04,1.30464000e+03,1.33016983e-03,4.88795361e+00,4.67968280e-02,1.07648197e+04,3.27143003e+01,0.03479079
1.70000e+04,1.29495282e+03,1.34685917e-03,4.88795361e+00,4.67968280e-02,1.07536269e+04,3.27143003e+01,0.03496408
1.80000e+04,1.28563879e+03,1.36323463e-03,4.88795361e+00,4.67968280e-02,1.07427595e+04,3.27143003e+01,0.03513275
1.90000e+04,1.27667274e+03,1.37931145e-03,4.88795361e+00,4.67968280e-02,1.07321985e+04,3.27143003e+01,0.03529705
2.00000e+04,1.26803185e+03,1.39510369e-03,4.88795361e+00,4.67968280e-02,1.07219265e+04,3.27143003e+01,0.03545722
2.10000e+04,1.25969544e+03,1.41062437e-03,4.88795361e+00,4.67968280e-02,1.07119276e+04,3.27143003e+01,0.03561348
2.20000e+04,1.25164463e+03,1.42588555e-03,4.88795361e+00,4.67968280e-02,1.07021872e+04,3.27143003e+01,0.03576603
2.30000e+04,1.24386224e+03,1.44089848e-03,4.88795361e+00,4.67968280e-02,1.06926918e+04,3.27143003e+01,0.03591506
2.40000e+04,1.23633250e+03,1.45567361e-03,4.88795361e+00,4.67968280e-02,1.06834289e+04,3.27143003e+01,0.03606073
2.50000e+04,1.22904099e+03,1.47022070e-03,4.88795361e+00,4.67968280e-02,1.06743872e+04,3.27143003e+01,0.03620322
2.60000e+04,1.22197441e+03,1.48454888e-03,4.88795361e+00,4.67968280e-02,1.06655559e+04,3.27143003e+01,0.03634266
2.70000e+04,1.21512052e+03,1.49866670e-03,4.88795361e+00,4.67968280e-02,1.06569250e+04,3.27143003e+01,0.03647919
2.80000e+04,1.20846804e+03,1.51258217e-03,4.88795361e+00,4.67968280e-02,1.06484855e+04,3.27143003e+01,0.03661294
2.90000e+04,1.20200652e+03,1.52630284e-03,4.88795361e+00,4.67968280e-02,1.06402288e+04,3.27143003e+01,0.03674404
3.00000e+04,1.19572626e+03,1.53983578e-03,4.88795361e+00,4.67968280e-02,1.06321468e+04,3.27143003e+01,0.03687258
3.10000e+04,1.18961829e+03,1.55318767e-03,4.88795361e+00,4.67968280e-02,1.06242320e+04,3.27143003e+01,0.03699869
3.20000e+04,1.18367425e+03,1.56636483e-03,4.88795361e+00,4.67968280e-02,1.06164774e+04,3.27143003e+01,0.03712245
3.30000e+04,1.17788634e+03,1.57937320e-03,4.88795361e+00,4.67968280e-02,1.06088765e+04,3.27143003e+01,0.03724396
3.40000e+04,1.17224732e+03,1.59221840e-03,4.88795361e+00,4.67968280e-02,1.06014230e+04,3.27143003e+01,0.03736330
3.50000e+04,1.16675040e+03,1.60490578e-03,4.88795361e+00,4.67968280e-02,1.05941112e+04,3.27143003e+01,0.03748056
3.60000e+04,1.16138923e+03,1.61744039e-03,4.88795361e+00,4.67968280e-02,1.05869356e+04,3.27143003e+01,0.03759582
3.70000e+04,1.15615788e+03,1.62982701e-03,4.88795361e+00,4.67968280e-02,1.05798911e+04,3.27143003e+01,0.03770914
3.80000e+04,1.15105077e+03,1.64207021e-03,4.88795361e+00,4.67968280e-02,1.05729727e+04,3.27143003e+01,0.03782060
3.90000e+04,1.14606266e+03,1.65417432e-03,4.88795361e+00,4.67968280e-02,1.05661760e+04,3.27143003e+01,0.03793026
4.00000e+04,1.14118864e+03,1.66614347e-03,4.88795361e+00,4.67968280e-02,1.05594964e+04,3.27143003e+01,0.03803819
4.10000e+04,1.13642407e+03,1.67798158e-03,4.88795361e+00,4.67968280e-02,1.05529301e+04,3.27143003e+01,0.03814443
4.20000e+04,1.13176460e+03,1.68969240e-03,4.88795361e+00,4.67968280e-02,1.05464729e+04,3.27143003e+01,0.03824905
4.30000e+04,1.12720609e+03,1.70127950e-03,4.88795361e+00,4.67968280e-02,1.05401213e+04,3.27143003e+01,0.03835210
4.40000e+04,1.12274466e+03,1.71274630e-03,4.88795361e+00,4.67968280e-02,1.05338717e+04,3.27143003e+01,0.03845364
4.50000e+04,1.11837665e+03,1.72409607e-03,4.88795361e+00,4.67968280e-02,1.05277208e+04,3.27143003e+01,0.03855370
4.60000e+04,1.11409856e+03,1.73533192e-03,4.88795361e+00,4.67968280e-02,1.05216654e+04,3.27143003e+01,0.03865233
4.70000e+04,1.10990712e+03,1.74645685e-03,4.88795361e+00,4.67968280e-02,1.05157024e+04,3.27143003e+01,0.03874958
4.80000e+04,1.10579919e+03,1.75747372e-03,4.88795361e+00,4.67968280e-02,1.05098291e+04,3.27143003e+01,0.03884549
4.90000e+04,1.10177181e+03,1.76838528e-03,4.88795361e+00,4.67968280e-02,1.05040427e+04,3.27143003e+01,0.03894009
