#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54403344e+03,1.00000000e-03,4.88795356e+00,0.00000000e+00,1.10156805e+04,3.27143003e+01,0.03109474
1.00000e+02,1.54303531e+03,1.00106315e-03,4.88795356e+00,0.00000000e+00,1.10153068e+04,3.27143003e+01,0.03110815
2.00000e+02,1.54204053e+03,1.00212461e-03,4.88795356e+00,0.00000000e+00,1.10149340e+04,3.27143003e+01,0.03112153
3.00000e+02,1.54104911e+03,1.00318439e-03,4.88795356e+00,0.00000000e+00,1.10145622e+04,3.27143003e+01,0.03113487
4.00000e+02,1.54006101e+03,1.00424250e-03,4.88795356e+00,0.00000000e+00,1.10141913e+04,3.27143003e+01,0.03114819
5.00000e+02,1.53907622e+03,1.00529894e-03,4.88795356e+00,0.00000000e+00,1.10138213e+04,3.27143003e+01,0.03116147
6.00000e+02,1.53809471e+03,1.00635372e-03,4.88795356e+00,0.00000000e+00,1.10134523e+04,3.27143003e+01,0.03117473
7.00000e+02,1.53711646e+03,1.00740685e-03,4.88795356e+00,0.00000000e+00,1.10130841e+04,3.27143003e+01,0.03118795
8.00000e+02,1.53614147e+03,1.00845833e-03,4.88795356e+00,0.00000000e+00,1.10127169e+04,3.27143003e+01,0.03120115
9.00000e+02,1.53516970e+03,1.00950817e-03,4.88795356e+00,0.00000000e+00,1.10123506e+04,3.27143003e+01,0.03121432
1.00000e+03,1.53420114e+03,1.01055638e-03,4.88795356e+00,0.00000000e+00,1.10119852e+04,3.27143003e+01,0.03122745
2.00000e+03,1.52468787e+03,1.02095022e-03,4.88795356e+00,0.00000000e+00,1.10083796e+04,3.27143003e+01,0.03135721
3.00000e+03,1.51547545e+03,1.03118809e-03,4.88795356e+00,0.00000000e+00,1.10048594e+04,3.27143003e+01,0.03148416
4.00000e+03,1.50654715e+03,1.04127612e-03,4.88795356e+00,0.00000000e+00,1.10014204e+04,3.27143003e+01,0.03160843
