#time,a_sat,e_sat,n_sat,n_p,Omega_p
0.00000e+00,5.14424e-02,9.62190e-04,1.54655e+03,1.04178e+01,1.10157e+04
1.00000e+02,5.14966e-02,8.38107e-04,1.54411e+03,1.04234e+01,1.10134e+04
2.00000e+02,5.15471e-02,8.97200e-04,1.54184e+03,1.04239e+01,1.10112e+04
3.00000e+02,5.15975e-02,8.49591e-04,1.53958e+03,1.04234e+01,1.10090e+04
4.00000e+02,5.16514e-02,8.37891e-04,1.53717e+03,1.04184e+01,1.10067e+04
5.00000e+02,5.17044e-02,8.22270e-04,1.53481e+03,1.04235e+01,1.10045e+04
6.00000e+02,5.17575e-02,9.72998e-04,1.53245e+03,1.04238e+01,1.10024e+04
7.00000e+02,5.18154e-02,9.02561e-04,1.52988e+03,1.04236e+01,1.10002e+04
8.00000e+02,5.18657e-02,8.01829e-04,1.52766e+03,1.04217e+01,1.09980e+04
9.00000e+02,5.19206e-02,9.10024e-04,1.52524e+03,1.04236e+01,1.09959e+04
1.00000e+03,5.19668e-02,7.64280e-04,1.52320e+03,1.04238e+01,1.09937e+04
2.00000e+03,5.24685e-02,9.81438e-04,1.50140e+03,1.04227e+01,1.09731e+04
3.00000e+03,5.29458e-02,9.64646e-04,1.48115e+03,1.04238e+01,1.09535e+04
4.00000e+03,5.34077e-02,1.04437e-03,1.46198e+03,1.04240e+01,1.09350e+04
5.00000e+03,5.38345e-02,7.64064e-04,1.44463e+03,1.04240e+01,1.09174e+04
6.00000e+03,5.42554e-02,8.58803e-04,1.42785e+03,1.04236e+01,1.09006e+04
7.00000e+03,5.46487e-02,8.21273e-04,1.41246e+03,1.04297e+01,1.08845e+04
8.00000e+03,5.50331e-02,1.18679e-03,1.39769e+03,1.04239e+01,1.08691e+04
9.00000e+03,5.54085e-02,1.14541e-03,1.38351e+03,1.04243e+01,1.08543e+04
1.00000e+04,5.57647e-02,9.89632e-04,1.37027e+03,1.04233e+01,1.08401e+04
1.10000e+04,5.61050e-02,1.18557e-03,1.35782e+03,1.04235e+01,1.08265e+04
1.20000e+04,5.64372e-02,1.28825e-03,1.34585e+03,1.04245e+01,1.08133e+04
1.30000e+04,5.67633e-02,1.14710e-03,1.33427e+03,1.04239e+01,1.08006e+04
1.40000e+04,5.70736e-02,1.29501e-03,1.32341e+03,1.04196e+01,1.07883e+04
1.50000e+04,5.73835e-02,1.10326e-03,1.31270e+03,1.04235e+01,1.07764e+04
1.60000e+04,5.76724e-02,1.32832e-03,1.30285e+03,1.04240e+01,1.07648e+04
