#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54963098e+03,1.00000000e-03,1.04180437e+01,2.68486549e-02,1.10156805e+04,6.97263033e+01,0.05137422
1.00000e+02,1.54938349e+03,1.00026236e-03,1.04180437e+01,2.68486549e-02,1.10154543e+04,6.97263033e+01,0.05137969
2.00000e+02,1.54913621e+03,1.00052461e-03,1.04180437e+01,2.68486549e-02,1.10152282e+04,6.97263033e+01,0.05138516
3.00000e+02,1.54888913e+03,1.00078675e-03,1.04180437e+01,2.68486549e-02,1.10150022e+04,6.97263033e+01,0.05139062
4.00000e+02,1.54864227e+03,1.00104878e-03,1.04180437e+01,2.68486549e-02,1.10147764e+04,6.97263033e+01,0.05139608
5.00000e+02,1.54839562e+03,1.00131071e-03,1.04180437e+01,2.68486549e-02,1.10145508e+04,6.97263033e+01,0.05140154
6.00000e+02,1.54814917e+03,1.00157253e-03,1.04180437e+01,2.68486549e-02,1.10143253e+04,6.97263033e+01,0.05140699
7.00000e+02,1.54790293e+03,1.00183425e-03,1.04180437e+01,2.68486549e-02,1.10140999e+04,6.97263033e+01,0.05141245
8.00000e+02,1.54765690e+03,1.00209585e-03,1.04180437e+01,2.68486549e-02,1.10138747e+04,6.97263033e+01,0.05141789
9.00000e+02,1.54741108e+03,1.00235736e-03,1.04180437e+01,2.68486549e-02,1.10136496e+04,6.97263033e+01,0.05142334
1.00000e+03,1.54716547e+03,1.00261875e-03,1.04180437e+01,2.68486549e-02,1.10134246e+04,6.97263033e+01,0.05142878
2.00000e+03,1.54472069e+03,1.00522689e-03,1.04180437e+01,2.68486549e-02,1.10111830e+04,6.97263033e+01,0.05148303
3.00000e+03,1.54229631e+03,1.00782453e-03,1.04180437e+01,2.68486549e-02,1.10089554e+04,6.97263033e+01,0.05153697
4.00000e+03,1.53989205e+03,1.01041178e-03,1.04180437e+01,2.68486549e-02,1.10067417e+04,6.97263033e+01,0.05159060
5.00000e+03,1.53750759e+03,1.01298875e-03,1.04180437e+01,2.68486549e-02,1.10045417e+04,6.97263033e+01,0.05164392
6.00000e+03,1.53514265e+03,1.01555556e-03,1.04180437e+01,2.68486549e-02,1.10023552e+04,6.97263033e+01,0.05169695
7.00000e+03,1.53279694e+03,1.01811229e-03,1.04180437e+01,2.68486549e-02,1.10001820e+04,6.97263033e+01,0.05174968
8.00000e+03,1.53047017e+03,1.02065907e-03,1.04180437e+01,2.68486549e-02,1.09980219e+04,6.97263033e+01,0.05180212
9.00000e+03,1.52816208e+03,1.02319599e-03,1.04180437e+01,2.68486549e-02,1.09958749e+04,6.97263033e+01,0.05185426
1.00000e+04,1.52587240e+03,1.02572315e-03,1.04180437e+01,2.68486549e-02,1.09937407e+04,6.97263033e+01,0.05190612
1.10000e+04,1.52360086e+03,1.02824066e-03,1.04180437e+01,2.68486549e-02,1.09916193e+04,6.97263033e+01,0.05195770
1.20000e+04,1.52134720e+03,1.03074861e-03,1.04180437e+01,2.68486549e-02,1.09895103e+04,6.97263033e+01,0.05200900
1.30000e+04,1.51911117e+03,1.03324709e-03,1.04180437e+01,2.68486549e-02,1.09874137e+04,6.97263033e+01,0.05206003
1.40000e+04,1.51689253e+03,1.03573620e-03,1.04180437e+01,2.68486549e-02,1.09853294e+04,6.97263033e+01,0.05211078
1.50000e+04,1.51469104e+03,1.03821604e-03,1.04180437e+01,2.68486549e-02,1.09832571e+04,6.97263033e+01,0.05216126
1.60000e+04,1.51250644e+03,1.04068669e-03,1.04180437e+01,2.68486549e-02,1.09811968e+04,6.97263033e+01,0.05221147
1.70000e+04,1.51033852e+03,1.04314824e-03,1.04180437e+01,2.68486549e-02,1.09791483e+04,6.97263033e+01,0.05226142
1.80000e+04,1.50818704e+03,1.04560079e-03,1.04180437e+01,2.68486549e-02,1.09771114e+04,6.97263033e+01,0.05231111
