#time,n_m (rad/yr),e_m,n_p (rad/yr),e_p,O_p (rad/yr),n_crit (rad/yr),a_m/R_H
0.00000e+00,1.54172719e+03,1.00000000e-03,1.04180436e+01,0.00000000e+00,1.10156805e+04,6.97263033e+01,0.05154965
1.00000e+02,1.54132863e+03,1.00042502e-03,1.04180436e+01,0.00000000e+00,1.10156206e+04,6.97263033e+01,0.05155854
2.00000e+02,1.54093059e+03,1.00084977e-03,1.04180436e+01,0.00000000e+00,1.10155608e+04,6.97263033e+01,0.05156742
3.00000e+02,1.54053310e+03,1.00127426e-03,1.04180436e+01,0.00000000e+00,1.10155010e+04,6.97263033e+01,0.05157629
4.00000e+02,1.54013613e+03,1.00169848e-03,1.04180436e+01,0.00000000e+00,1.10154413e+04,6.97263033e+01,0.05158515
5.00000e+02,1.53973969e+03,1.00212244e-03,1.04180436e+01,0.00000000e+00,1.10153816e+04,6.97263033e+01,0.05159400
6.00000e+02,1.53934379e+03,1.00254613e-03,1.04180436e+01,0.00000000e+00,1.10153220e+04,6.97263033e+01,0.05160285
7.00000e+02,1.53894841e+03,1.00296957e-03,1.04180436e+01,0.00000000e+00,1.10152625e+04,6.97263033e+01,0.05161169
8.00000e+02,1.53855356e+03,1.00339273e-03,1.04180436e+01,0.00000000e+00,1.10152030e+04,6.97263033e+01,0.05162052
9.00000e+02,1.53815924e+03,1.00381564e-03,1.04180436e+01,0.00000000e+00,1.10151436e+04,6.97263033e+01,0.05162934
1.00000e+03,1.53776544e+03,1.00423828e-03,1.04180436e+01,0.00000000e+00,1.10150843e+04,6.97263033e+01,0.05163815
2.00000e+03,1.53385601e+03,1.00845039e-03,1.04180436e+01,0.00000000e+00,1.10144939e+04,6.97263033e+01,0.05172586
3.00000e+03,1.52999768e+03,1.01263676e-03,1.04180436e+01,0.00000000e+00,1.10139093e+04,6.97263033e+01,0.05181278
4.00000e+03,1.52618925e+03,1.01679781e-03,1.04180436e+01,0.00000000e+00,1.10133303e+04,6.97263033e+01,0.05189894
5.00000e+03,1.52242958e+03,1.02093395e-03,1.04180436e+01,0.00000000e+00,1.10127569e+04,6.97263033e+01,0.05198435
6.00000e+03,1.51871756e+03,1.02504558e-03,1.04180436e+01,0.00000000e+00,1.10121888e+04,6.97263033e+01,0.05206902
7.00000e+03,1.51505211e+03,1.02913309e-03,1.04180436e+01,0.00000000e+00,1.10116261e+04,6.97263033e+01,0.05215297
8.00000e+03,1.51143218e+03,1.03319685e-03,1.04180436e+01,0.00000000e+00,1.10110685e+04,6.97263033e+01,0.05223621
9.00000e+03,1.50785677e+03,1.03723725e-03,1.04180436e+01,0.00000000e+00,1.10105161e+04,6.97263033e+01,0.05231875
1.00000e+04,1.50432490e+03,1.04125463e-03,1.04180436e+01,0.00000000e+00,1.10099686e+04,6.97263033e+01,0.05240061
1.10000e+04,1.50083563e+03,1.04524935e-03,1.04180436e+01,0.00000000e+00,1.10094261e+04,6.97263033e+01,0.05248179
1.20000e+04,1.49738803e+03,1.04922176e-03,1.04180436e+01,0.00000000e+00,1.10088884e+04,6.97263033e+01,0.05256232
1.30000e+04,1.49398123e+03,1.05317218e-03,1.04180436e+01,0.00000000e+00,1.10083554e+04,6.97263033e+01,0.05264219
1.40000e+04,1.49061436e+03,1.05710094e-03,1.04180436e+01,0.00000000e+00,1.10078271e+04,6.97263033e+01,0.05272143
1.50000e+04,1.48728659e+03,1.06100836e-03,1.04180436e+01,0.00000000e+00,1.10073034e+04,6.97263033e+01,0.05280005
1.60000e+04,1.48399710e+03,1.06489476e-03,1.04180436e+01,0.00000000e+00,1.10067841e+04,6.97263033e+01,0.05287804
1.70000e+04,1.48074511e+03,1.06876043e-03,1.04180436e+01,0.00000000e+00,1.10062693e+04,6.97263033e+01,0.05295544
1.80000e+04,1.47752985e+03,1.07260567e-03,1.04180436e+01,0.00000000e+00,1.10057587e+04,6.97263033e+01,0.05303223
1.90000e+04,1.47435060e+03,1.07643077e-03,1.04180436e+01,0.00000000e+00,1.10052524e+04,6.97263033e+01,0.05310844
2.00000e+04,1.47120661e+03,1.08023601e-03,1.04180436e+01,0.00000000e+00,1.10047503e+04,6.97263033e+01,0.05318408
2.10000e+04,1.46809721e+03,1.08402168e-03,1.04180436e+01,0.00000000e+00,1.10042524e+04,6.97263033e+01,0.05325915
2.20000e+04,1.46502170e+03,1.08778803e-03,1.04180436e+01,0.00000000e+00,1.10037584e+04,6.97263033e+01,0.05333366
2.30000e+04,1.46197944e+03,1.09153534e-03,1.04180436e+01,0.00000000e+00,1.10032684e+04,6.97263033e+01,0.05340762
2.40000e+04,1.45896977e+03,1.09526387e-03,1.04180436e+01,0.00000000e+00,1.10027824e+04,6.97263033e+01,0.05348105
2.50000e+04,1.45599207e+03,1.09897385e-03,1.04180436e+01,0.00000000e+00,1.10023001e+04,6.97263033e+01,0.05355394
2.60000e+04,1.45304574e+03,1.10266556e-03,1.04180436e+01,0.00000000e+00,1.10018217e+04,6.97263033e+01,0.05362631
2.70000e+04,1.45013019e+03,1.10633921e-03,1.04180436e+01,0.00000000e+00,1.10013470e+04,6.97263033e+01,0.05369816
2.80000e+04,1.44724484e+03,1.10999506e-03,1.04180436e+01,0.00000000e+00,1.10008759e+04,6.97263033e+01,0.05376951
2.90000e+04,1.44438913e+03,1.11363334e-03,1.04180436e+01,0.00000000e+00,1.10004085e+04,6.97263033e+01,0.05384036
3.00000e+04,1.44156252e+03,1.11725426e-03,1.04180436e+01,0.00000000e+00,1.09999446e+04,6.97263033e+01,0.05391072
3.10000e+04,1.43876448e+03,1.12085806e-03,1.04180436e+01,0.00000000e+00,1.09994841e+04,6.97263033e+01,0.05398059
3.20000e+04,1.43599449e+03,1.12444494e-03,1.04180436e+01,0.00000000e+00,1.09990271e+04,6.97263033e+01,0.05404998
3.30000e+04,1.43325205e+03,1.12801513e-03,1.04180436e+01,0.00000000e+00,1.09985735e+04,6.97263033e+01,0.05411891
3.40000e+04,1.43053668e+03,1.13156883e-03,1.04180436e+01,0.00000000e+00,1.09981233e+04,6.97263033e+01,0.05418737
3.50000e+04,1.42784788e+03,1.13510625e-03,1.04180436e+01,0.00000000e+00,1.09976763e+04,6.97263033e+01,0.05425538
3.60000e+04,1.42518521e+03,1.13862758e-03,1.04180436e+01,0.00000000e+00,1.09972325e+04,6.97263033e+01,0.05432293
3.70000e+04,1.42254820e+03,1.14213303e-03,1.04180436e+01,0.00000000e+00,1.09967919e+04,6.97263033e+01,0.05439005
3.80000e+04,1.41993641e+03,1.14562279e-03,1.04180436e+01,0.00000000e+00,1.09963545e+04,6.97263033e+01,0.05445672
3.90000e+04,1.41734941e+03,1.14909703e-03,1.04180436e+01,0.00000000e+00,1.09959201e+04,6.97263033e+01,0.05452296
4.00000e+04,1.41478679e+03,1.15255596e-03,1.04180436e+01,0.00000000e+00,1.09954888e+04,6.97263033e+01,0.05458878
4.10000e+04,1.41224812e+03,1.15599975e-03,1.04180436e+01,0.00000000e+00,1.09950605e+04,6.97263033e+01,0.05465418
4.20000e+04,1.40973301e+03,1.15942858e-03,1.04180436e+01,0.00000000e+00,1.09946352e+04,6.97263033e+01,0.05471917
4.30000e+04,1.40724107e+03,1.16284262e-03,1.04180436e+01,0.00000000e+00,1.09942128e+04,6.97263033e+01,0.05478375
4.40000e+04,1.40477192e+03,1.16624204e-03,1.04180436e+01,0.00000000e+00,1.09937932e+04,6.97263033e+01,0.05484793
4.50000e+04,1.40232518e+03,1.16962702e-03,1.04180436e+01,0.00000000e+00,1.09933765e+04,6.97263033e+01,0.05491171
4.60000e+04,1.39990048e+03,1.17299772e-03,1.04180436e+01,0.00000000e+00,1.09929626e+04,6.97263033e+01,0.05497509
4.70000e+04,1.39749749e+03,1.17635430e-03,1.04180436e+01,0.00000000e+00,1.09925514e+04,6.97263033e+01,0.05503809
4.80000e+04,1.39511584e+03,1.17969691e-03,1.04180436e+01,0.00000000e+00,1.09921430e+04,6.97263033e+01,0.05510072
4.90000e+04,1.39275520e+03,1.18302573e-03,1.04180436e+01,0.00000000e+00,1.09917372e+04,6.97263033e+01,0.05516296
5.00000e+04,1.39041523e+03,1.18634089e-03,1.04180436e+01,0.00000000e+00,1.09913341e+04,6.97263033e+01,0.05522483
5.10000e+04,1.38809562e+03,1.18964255e-03,1.04180436e+01,0.00000000e+00,1.09909336e+04,6.97263033e+01,0.05528634
5.20000e+04,1.38579604e+03,1.19293085e-03,1.04180436e+01,0.00000000e+00,1.09905357e+04,6.97263033e+01,0.05534748
5.30000e+04,1.38351618e+03,1.19620595e-03,1.04180436e+01,0.00000000e+00,1.09901403e+04,6.97263033e+01,0.05540827
5.40000e+04,1.38125575e+03,1.19946798e-03,1.04180436e+01,0.00000000e+00,1.09897474e+04,6.97263033e+01,0.05546870
5.50000e+04,1.37901445e+03,1.20271709e-03,1.04180436e+01,0.00000000e+00,1.09893570e+04,6.97263033e+01,0.05552879
5.60000e+04,1.37679198e+03,1.20595341e-03,1.04180436e+01,0.00000000e+00,1.09889690e+04,6.97263033e+01,0.05558853
5.70000e+04,1.37458806e+03,1.20917708e-03,1.04180436e+01,0.00000000e+00,1.09885835e+04,6.97263033e+01,0.05564793
5.80000e+04,1.37240243e+03,1.21238823e-03,1.04180436e+01,0.00000000e+00,1.09882003e+04,6.97263033e+01,0.05570700
5.90000e+04,1.37023479e+03,1.21558699e-03,1.04180436e+01,0.00000000e+00,1.09878195e+04,6.97263033e+01,0.05576573
6.00000e+04,1.36808490e+03,1.21877349e-03,1.04180436e+01,0.00000000e+00,1.09874410e+04,6.97263033e+01,0.05582414
6.10000e+04,1.36595248e+03,1.22194786e-03,1.04180436e+01,0.00000000e+00,1.09870648e+04,6.97263033e+01,0.05588222
6.20000e+04,1.36383729e+03,1.22511022e-03,1.04180436e+01,0.00000000e+00,1.09866908e+04,6.97263033e+01,0.05593999
6.30000e+04,1.36173908e+03,1.22826069e-03,1.04180436e+01,0.00000000e+00,1.09863191e+04,6.97263033e+01,0.05599744
6.40000e+04,1.35965760e+03,1.23139939e-03,1.04180436e+01,0.00000000e+00,1.09859496e+04,6.97263033e+01,0.05605457
6.50000e+04,1.35759261e+03,1.23452645e-03,1.04180436e+01,0.00000000e+00,1.09855822e+04,6.97263033e+01,0.05611140
6.60000e+04,1.35554387e+03,1.23764197e-03,1.04180436e+01,0.00000000e+00,1.09852171e+04,6.97263033e+01,0.05616792
6.70000e+04,1.35351117e+03,1.24074608e-03,1.04180436e+01,0.00000000e+00,1.09848540e+04,6.97263033e+01,0.05622414
6.80000e+04,1.35149428e+03,1.24383888e-03,1.04180436e+01,0.00000000e+00,1.09844931e+04,6.97263033e+01,0.05628007
6.90000e+04,1.34949296e+03,1.24692049e-03,1.04180436e+01,0.00000000e+00,1.09841342e+04,6.97263033e+01,0.05633570
7.00000e+04,1.34750702e+03,1.24999101e-03,1.04180436e+01,0.00000000e+00,1.09837774e+04,6.97263033e+01,0.05639103
7.10000e+04,1.34553623e+03,1.25305055e-03,1.04180436e+01,0.00000000e+00,1.09834226e+04,6.97263033e+01,0.05644608
7.20000e+04,1.34358040e+03,1.25609922e-03,1.04180436e+01,0.00000000e+00,1.09830698e+04,6.97263033e+01,0.05650085
7.30000e+04,1.34163931e+03,1.25913713e-03,1.04180436e+01,0.00000000e+00,1.09827190e+04,6.97263033e+01,0.05655533
7.40000e+04,1.33971277e+03,1.26216436e-03,1.04180436e+01,0.00000000e+00,1.09823701e+04,6.97263033e+01,0.05660954
7.50000e+04,1.33780058e+03,1.26518103e-03,1.04180436e+01,0.00000000e+00,1.09820232e+04,6.97263033e+01,0.05666347
7.60000e+04,1.33590255e+03,1.26818724e-03,1.04180436e+01,0.00000000e+00,1.09816782e+04,6.97263033e+01,0.05671713
7.70000e+04,1.33401850e+03,1.27118308e-03,1.04180436e+01,0.00000000e+00,1.09813351e+04,6.97263033e+01,0.05677052
7.80000e+04,1.33214824e+03,1.27416864e-03,1.04180436e+01,0.00000000e+00,1.09809939e+04,6.97263033e+01,0.05682364
7.90000e+04,1.33029158e+03,1.27714403e-03,1.04180436e+01,0.00000000e+00,1.09806545e+04,6.97263033e+01,0.05687650
8.00000e+04,1.32844835e+03,1.28010933e-03,1.04180436e+01,0.00000000e+00,1.09803169e+04,6.97263033e+01,0.05692910
8.10000e+04,1.32661838e+03,1.28306465e-03,1.04180436e+01,0.00000000e+00,1.09799811e+04,6.97263033e+01,0.05698144
8.20000e+04,1.32480149e+03,1.28601006e-03,1.04180436e+01,0.00000000e+00,1.09796472e+04,6.97263033e+01,0.05703352
8.30000e+04,1.32299753e+03,1.28894566e-03,1.04180436e+01,0.00000000e+00,1.09793150e+04,6.97263033e+01,0.05708536
8.40000e+04,1.32120631e+03,1.29187153e-03,1.04180436e+01,0.00000000e+00,1.09789845e+04,6.97263033e+01,0.05713694
8.50000e+04,1.31942769e+03,1.29478777e-03,1.04180436e+01,0.00000000e+00,1.09786558e+04,6.97263033e+01,0.05718828
8.60000e+04,1.31766150e+03,1.29769446e-03,1.04180436e+01,0.00000000e+00,1.09783288e+04,6.97263033e+01,0.05723937
8.70000e+04,1.31590758e+03,1.30059168e-03,1.04180436e+01,0.00000000e+00,1.09780034e+04,6.97263033e+01,0.05729022
8.80000e+04,1.31416579e+03,1.30347951e-03,1.04180436e+01,0.00000000e+00,1.09776798e+04,6.97263033e+01,0.05734083
8.90000e+04,1.31243598e+03,1.30635804e-03,1.04180436e+01,0.00000000e+00,1.09773578e+04,6.97263033e+01,0.05739120
9.00000e+04,1.31071799e+03,1.30922736e-03,1.04180436e+01,0.00000000e+00,1.09770375e+04,6.97263033e+01,0.05744134
9.10000e+04,1.30901168e+03,1.31208752e-03,1.04180436e+01,0.00000000e+00,1.09767187e+04,6.97263033e+01,0.05749125
9.20000e+04,1.30731691e+03,1.31493863e-03,1.04180436e+01,0.00000000e+00,1.09764016e+04,6.97263033e+01,0.05754092
9.30000e+04,1.30563354e+03,1.31778075e-03,1.04180436e+01,0.00000000e+00,1.09760861e+04,6.97263033e+01,0.05759037
9.40000e+04,1.30396143e+03,1.32061396e-03,1.04180436e+01,0.00000000e+00,1.09757721e+04,6.97263033e+01,0.05763959
9.50000e+04,1.30230045e+03,1.32343833e-03,1.04180436e+01,0.00000000e+00,1.09754597e+04,6.97263033e+01,0.05768859
9.60000e+04,1.30065046e+03,1.32625394e-03,1.04180436e+01,0.00000000e+00,1.09751488e+04,6.97263033e+01,0.05773737
9.70000e+04,1.29901133e+03,1.32906087e-03,1.04180436e+01,0.00000000e+00,1.09748395e+04,6.97263033e+01,0.05778593
9.80000e+04,1.29738294e+03,1.33185918e-03,1.04180436e+01,0.00000000e+00,1.09745316e+04,6.97263033e+01,0.05783427
9.90000e+04,1.29576515e+03,1.33464894e-03,1.04180436e+01,0.00000000e+00,1.09742253e+04,6.97263033e+01,0.05788240
1.00000e+05,1.29415786e+03,1.33743023e-03,1.04180436e+01,0.00000000e+00,1.09739204e+04,6.97263033e+01,0.05793032
1.01000e+05,1.29256092e+03,1.34020312e-03,1.04180436e+01,0.00000000e+00,1.09736170e+04,6.97263033e+01,0.05797802
1.02000e+05,1.29097423e+03,1.34296767e-03,1.04180436e+01,0.00000000e+00,1.09733150e+04,6.97263033e+01,0.05802552
1.03000e+05,1.28939766e+03,1.34572396e-03,1.04180436e+01,0.00000000e+00,1.09730145e+04,6.97263033e+01,0.05807281
1.04000e+05,1.28783110e+03,1.34847204e-03,1.04180436e+01,0.00000000e+00,1.09727154e+04,6.97263033e+01,0.05811989
1.05000e+05,1.28627444e+03,1.35121198e-03,1.04180436e+01,0.00000000e+00,1.09724177e+04,6.97263033e+01,0.05816678
1.06000e+05,1.28472756e+03,1.35394386e-03,1.04180436e+01,0.00000000e+00,1.09721214e+04,6.97263033e+01,0.05821346
1.07000e+05,1.28319035e+03,1.35666773e-03,1.04180436e+01,0.00000000e+00,1.09718265e+04,6.97263033e+01,0.05825994
1.08000e+05,1.28166271e+03,1.35938365e-03,1.04180436e+01,0.00000000e+00,1.09715329e+04,6.97263033e+01,0.05830622
1.09000e+05,1.28014452e+03,1.36209169e-03,1.04180436e+01,0.00000000e+00,1.09712407e+04,6.97263033e+01,0.05835231
1.10000e+05,1.27863569e+03,1.36479191e-03,1.04180436e+01,0.00000000e+00,1.09709499e+04,6.97263033e+01,0.05839821
1.11000e+05,1.27713611e+03,1.36748438e-03,1.04180436e+01,0.00000000e+00,1.09706604e+04,6.97263033e+01,0.05844391
1.12000e+05,1.27564567e+03,1.37016914e-03,1.04180436e+01,0.00000000e+00,1.09703721e+04,6.97263033e+01,0.05848943
1.13000e+05,1.27416428e+03,1.37284627e-03,1.04180436e+01,0.00000000e+00,1.09700852e+04,6.97263033e+01,0.05853475
1.14000e+05,1.27269184e+03,1.37551581e-03,1.04180436e+01,0.00000000e+00,1.09697996e+04,6.97263033e+01,0.05857989
1.15000e+05,1.27122825e+03,1.37817783e-03,1.04180436e+01,0.00000000e+00,1.09695152e+04,6.97263033e+01,0.05862485
1.16000e+05,1.26977342e+03,1.38083239e-03,1.04180436e+01,0.00000000e+00,1.09692322e+04,6.97263033e+01,0.05866962
1.17000e+05,1.26832725e+03,1.38347953e-03,1.04180436e+01,0.00000000e+00,1.09689503e+04,6.97263033e+01,0.05871421
1.18000e+05,1.26688965e+03,1.38611932e-03,1.04180436e+01,0.00000000e+00,1.09686698e+04,6.97263033e+01,0.05875862
1.19000e+05,1.26546053e+03,1.38875182e-03,1.04180436e+01,0.00000000e+00,1.09683904e+04,6.97263033e+01,0.05880285
1.20000e+05,1.26403979e+03,1.39137707e-03,1.04180436e+01,0.00000000e+00,1.09681123e+04,6.97263033e+01,0.05884690
1.21000e+05,1.26262736e+03,1.39399512e-03,1.04180436e+01,0.00000000e+00,1.09678354e+04,6.97263033e+01,0.05889078
1.22000e+05,1.26122314e+03,1.39660605e-03,1.04180436e+01,0.00000000e+00,1.09675596e+04,6.97263033e+01,0.05893448
1.23000e+05,1.25982705e+03,1.39920988e-03,1.04180436e+01,0.00000000e+00,1.09672851e+04,6.97263033e+01,0.05897801
1.24000e+05,1.25843900e+03,1.40180668e-03,1.04180436e+01,0.00000000e+00,1.09670117e+04,6.97263033e+01,0.05902137
