#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.160,0.00100,0.16000,0.00765,0.60601,7.46100e+09
0.163,0.00100,0.16300,0.00804,0.59862,8.46300e+09
0.166,0.00100,0.16600,0.00845,0.59123,9.57900e+09
0.229,0.00100,0.16911,0.00890,0.43610,1.00000e+10
0.181,0.00100,0.16785,0.00871,0.55430,1.00000e+10
0.172,0.00100,0.16737,0.00865,0.57646,1.00000e+10
0.178,0.00100,0.16770,0.00869,0.56168,1.00000e+10
0.217,0.00100,0.16892,0.00887,0.46565,1.00000e+10
0.169,0.00100,0.16718,0.00862,0.58385,1.00000e+10
0.220,0.00100,0.16897,0.00888,0.45826,1.00000e+10
0.226,0.00100,0.16907,0.00889,0.44349,1.00000e+10
0.175,0.00100,0.16754,0.00867,0.56907,1.00000e+10
0.184,0.00100,0.16798,0.00873,0.54691,1.00000e+10
0.223,0.00100,0.16902,0.00888,0.45087,1.00000e+10
0.187,0.00100,0.16810,0.00875,0.53952,1.00000e+10
0.211,0.00100,0.16880,0.00885,0.48042,1.00000e+10
0.196,0.00100,0.16842,0.00880,0.51736,1.00000e+10
0.199,0.00100,0.16851,0.00881,0.50997,1.00000e+10
0.238,0.00100,0.16923,0.00891,0.41394,1.00000e+10
0.208,0.00100,0.16874,0.00884,0.48781,1.00000e+10
0.193,0.00100,0.16832,0.00878,0.52475,1.00000e+10
0.190,0.00100,0.16822,0.00877,0.53214,1.00000e+10
0.232,0.00100,0.16915,0.00890,0.42871,1.00000e+10
0.235,0.00100,0.16919,0.00891,0.42132,1.00000e+10
0.214,0.00100,0.16886,0.00886,0.47304,1.00000e+10
0.241,0.00100,0.16926,0.00892,0.40655,1.00000e+10
0.205,0.00100,0.16867,0.00883,0.49520,1.00000e+10
0.202,0.00100,0.16859,0.00882,0.50259,1.00000e+10
0.244,0.00100,0.16929,0.00892,0.39916,1.00000e+10
0.247,0.00100,0.16932,0.00893,0.39178,1.00000e+10
0.250,0.00100,0.16935,0.00893,0.38439,1.00000e+10
0.253,0.00100,0.16937,0.00894,0.37700,1.00000e+10
0.259,0.00100,0.16942,0.00894,0.36223,1.00000e+10
0.256,0.00100,0.16940,0.00894,0.36961,1.00000e+10
