#f_c,M_sat (M_p),final a_sat (R_H),final e_sat,final e_p, lifetime
0.160,0.00100,0.16005,0.00194,0.60601,2.75000e+08
0.163,0.00100,0.16301,0.00204,0.59862,3.11000e+08
0.166,0.00100,0.16605,0.00215,0.59123,3.52000e+08
0.169,0.00100,0.16905,0.00225,0.58385,3.97000e+08
0.172,0.00100,0.17205,0.00236,0.57646,4.47000e+08
0.175,0.00100,0.17504,0.00247,0.56907,5.02000e+08
0.178,0.00100,0.17803,0.00259,0.56168,5.63000e+08
0.181,0.00100,0.18101,0.00271,0.55430,6.30000e+08
0.184,0.00100,0.18403,0.00283,0.54691,7.05000e+08
0.187,0.00100,0.18703,0.00296,0.53952,7.87000e+08
0.190,0.00100,0.19002,0.00309,0.53214,8.77000e+08
0.193,0.00100,0.19301,0.00322,0.52475,9.76000e+08
0.196,0.00100,0.19601,0.00336,0.51736,1.08500e+09
0.199,0.00100,0.19902,0.00350,0.50997,1.20500e+09
0.202,0.00100,0.20201,0.00365,0.50259,1.33600e+09
0.205,0.00100,0.20501,0.00380,0.49520,1.48000e+09
0.208,0.00100,0.20800,0.00395,0.48781,1.63700e+09
0.211,0.00100,0.21101,0.00411,0.48042,1.81000e+09
0.214,0.00100,0.21401,0.00427,0.47304,1.99800e+09
0.217,0.00100,0.21700,0.00443,0.46565,2.20400e+09
0.220,0.00100,0.22000,0.00460,0.45826,2.42900e+09
0.223,0.00100,0.22300,0.00477,0.45088,2.67500e+09
0.226,0.00100,0.22600,0.00495,0.44349,2.94400e+09
0.229,0.00100,0.22901,0.00513,0.43610,3.23800e+09
0.232,0.00100,0.23200,0.00531,0.42871,3.55800e+09
0.235,0.00100,0.23500,0.00550,0.42133,3.90800e+09
0.238,0.00100,0.23800,0.00570,0.41394,4.29000e+09
0.241,0.00100,0.24100,0.00589,0.40655,4.70800e+09
0.244,0.00100,0.24400,0.00609,0.39916,5.16500e+09
0.247,0.00100,0.24700,0.00630,0.39178,5.66400e+09
0.250,0.00100,0.25000,0.00651,0.38439,6.21000e+09
0.253,0.00100,0.25300,0.00672,0.37700,6.80800e+09
0.256,0.00100,0.25600,0.00694,0.36961,7.46400e+09
0.259,0.00100,0.25900,0.00717,0.36223,8.18400e+09
0.262,0.00100,0.26200,0.00740,0.35484,8.97700e+09
0.265,0.00100,0.26500,0.00763,0.34745,9.85000e+09
0.268,0.00100,0.26593,0.00770,0.34007,1.00000e+10
0.271,0.00100,0.26645,0.00774,0.33268,1.00000e+10
0.274,0.00100,0.26693,0.00778,0.32529,1.00000e+10
0.277,0.00100,0.26739,0.00782,0.31790,1.00000e+10
0.280,0.00100,0.26782,0.00786,0.31052,1.00000e+10
0.283,0.00100,0.26824,0.00789,0.30313,1.00000e+10
0.286,0.00100,0.26863,0.00792,0.29574,1.00000e+10
0.292,0.00100,0.26936,0.00798,0.28097,1.00000e+10
0.295,0.00100,0.26969,0.00801,0.27358,1.00000e+10
0.298,0.00100,0.27001,0.00804,0.26619,1.00000e+10
0.289,0.00100,0.26900,0.00795,0.28835,1.00000e+10
0.301,0.00100,0.27032,0.00806,0.25880,1.00000e+10
0.304,0.00100,0.27060,0.00808,0.25142,1.00000e+10
0.307,0.00100,0.27087,0.00811,0.24403,1.00000e+10
0.310,0.00100,0.27113,0.00813,0.23664,1.00000e+10
0.160,0.00125,0.16010,0.00194,0.60601,2.18000e+08
0.313,0.00100,0.27138,0.00815,0.22925,1.00000e+10
0.163,0.00125,0.16303,0.00204,0.59862,2.46000e+08
0.316,0.00100,0.27161,0.00817,0.22187,1.00000e+10
0.166,0.00125,0.16604,0.00215,0.59123,2.78000e+08
0.169,0.00125,0.16901,0.00225,0.58385,3.13000e+08
0.319,0.00100,0.27183,0.00819,0.21448,1.00000e+10
0.172,0.00125,0.17200,0.00236,0.57646,3.52000e+08
0.175,0.00125,0.17505,0.00248,0.56907,3.96000e+08
0.322,0.00100,0.27204,0.00820,0.20709,1.00000e+10
0.178,0.00125,0.17800,0.00259,0.56168,4.43000e+08
0.181,0.00125,0.18102,0.00271,0.55430,4.96000e+08
0.184,0.00125,0.18401,0.00283,0.54691,5.54000e+08
0.325,0.00100,0.27223,0.00822,0.19970,1.00000e+10
0.187,0.00125,0.18702,0.00296,0.53952,6.18000e+08
0.190,0.00125,0.19001,0.00309,0.53214,6.88000e+08
0.193,0.00125,0.19301,0.00322,0.52475,7.65000e+08
0.196,0.00125,0.19602,0.00336,0.51736,8.50000e+08
0.199,0.00125,0.19901,0.00350,0.50997,9.42000e+08
0.202,0.00125,0.20203,0.00365,0.50259,1.04400e+09
0.328,0.00100,0.27242,0.00824,0.19232,1.00000e+10
0.205,0.00125,0.20501,0.00380,0.49520,1.15400e+09
0.331,0.00100,0.27260,0.00825,0.18493,1.00000e+10
0.208,0.00125,0.20801,0.00395,0.48781,1.27500e+09
0.211,0.00125,0.21101,0.00411,0.48042,1.40700e+09
0.334,0.00100,0.27276,0.00827,0.17754,1.00000e+10
0.214,0.00125,0.21400,0.00427,0.47304,1.55100e+09
0.217,0.00125,0.21700,0.00443,0.46565,1.70800e+09
0.337,0.00100,0.27292,0.00828,0.17016,1.00000e+10
