#nR_H,a_s,e_s,MA_s,tcol
0.250,0.02016585,0.57,122.04291,42022.65061
0.250,0.02016585,0.09,61.02536,1000000.00000
0.250,0.02016585,0.01,8.36107,1000000.00000
0.250,0.02016585,0.01,109.35807,1000000.00000
0.250,0.02016585,0.00,28.08336,1000000.00000
0.250,0.02016585,0.25,55.71497,1000000.00000
0.250,0.02016585,0.21,98.91520,1000000.00000
0.250,0.02016585,0.12,164.67559,1000000.00000
0.250,0.02016585,0.27,24.12274,1000000.00000
0.250,0.02016585,0.13,157.92715,1000000.00000
0.250,0.02016585,0.38,6.03584,1000000.00000
0.250,0.02016585,0.36,70.64012,1000000.00000
0.250,0.02016585,0.21,142.48423,1000000.00000
0.250,0.02016585,0.33,31.20725,1000000.00000
0.250,0.02016585,0.10,128.19226,1000000.00000
0.250,0.02016585,0.20,162.96876,1000000.00000
0.250,0.02016585,0.48,44.16284,1000000.00000
0.250,0.02016585,0.41,75.40658,1000000.00000
0.250,0.02016585,0.18,82.48552,1000000.00000
0.250,0.02016585,0.04,88.88321,1000000.00000
0.250,0.02016585,0.01,35.94128,1000000.00000
0.250,0.02016585,0.52,63.12813,156909.03588
0.250,0.02016585,0.57,153.10471,188463.72014
0.250,0.02016585,0.60,29.45229,174432.42945
0.250,0.02016585,0.58,23.19658,487876.72764
0.250,0.02016585,0.56,39.63298,292295.22847
0.250,0.02016585,0.60,136.48737,16688.92975
0.250,0.02016585,0.44,42.87290,1000000.00000
0.250,0.02016585,0.03,146.78306,1000000.00000
0.250,0.02016585,0.18,146.60433,1000000.00000
0.250,0.02016585,0.01,52.58604,1000000.00000
0.250,0.02016585,0.18,35.24240,1000000.00000
0.250,0.02016585,0.10,124.54114,1000000.00000
0.250,0.02016585,0.20,57.47646,1000000.00000
0.250,0.02016585,0.35,149.51149,1000000.00000
0.250,0.02016585,0.03,127.23432,1000000.00000
0.250,0.02016585,0.16,99.78373,1000000.00000
0.250,0.02016585,0.40,60.33550,1000000.00000
0.250,0.02016585,0.21,147.93481,1000000.00000
0.250,0.02016585,0.16,171.87575,1000000.00000
0.250,0.02016585,0.32,105.63140,1000000.00000
0.250,0.02016585,0.50,164.78789,1000000.00000
0.250,0.02016585,0.16,17.61015,1000000.00000
0.250,0.02016585,0.47,107.53436,1000000.00000
0.250,0.02016585,0.32,22.96446,1000000.00000
0.250,0.02016585,0.56,89.12637,462840.23530
0.250,0.02016585,0.54,109.39262,1000000.00000
0.250,0.02016585,0.36,11.96933,1000000.00000
0.250,0.02016585,0.53,42.97989,789264.72175
0.250,0.02016585,0.56,89.25763,128952.84037
0.250,0.02016585,0.10,109.15723,1000000.00000
0.250,0.02016585,0.32,38.06064,1000000.00000
0.250,0.02016585,0.31,66.40445,1000000.00000
0.250,0.02016585,0.17,110.85302,1000000.00000
0.250,0.02016585,0.36,146.98790,1000000.00000
0.250,0.02016585,0.30,90.61511,1000000.00000
0.250,0.02016585,0.49,78.26892,1000000.00000
0.250,0.02016585,0.44,71.49304,1000000.00000
0.250,0.02016585,0.08,33.57333,1000000.00000
0.250,0.02016585,0.10,115.56570,1000000.00000
0.250,0.02016585,0.51,57.43809,1000000.00000
0.250,0.02016585,0.39,170.51100,1000000.00000
0.250,0.02016585,0.55,179.08341,1000000.00000
0.250,0.02016585,0.35,9.32824,1000000.00000
0.250,0.02016585,0.59,23.41552,70982.20423
0.250,0.02016585,0.51,85.35856,1000000.00000
0.250,0.02016585,0.21,14.64278,1000000.00000
0.250,0.02016585,0.38,56.10997,1000000.00000
0.250,0.02016585,0.15,48.74981,1000000.00000
0.250,0.02016585,0.06,57.24063,1000000.00000
0.250,0.02016585,0.41,104.50590,1000000.00000
0.250,0.02016585,0.20,59.15962,1000000.00000
0.250,0.02016585,0.45,104.94748,1000000.00000
0.250,0.02016585,0.26,99.97771,1000000.00000
0.250,0.02016585,0.34,138.50873,1000000.00000
0.250,0.02016585,0.26,170.05783,1000000.00000
0.250,0.02016585,0.51,41.40159,1000000.00000
0.250,0.02016585,0.55,23.31269,1000000.00000
0.250,0.02016585,0.45,53.00384,1000000.00000
0.250,0.02016585,0.50,169.93068,1000000.00000
0.250,0.02016585,0.10,18.26488,1000000.00000
0.250,0.02016585,0.16,128.62727,1000000.00000
0.250,0.02016585,0.41,96.73121,1000000.00000
0.250,0.02016585,0.17,4.77204,1000000.00000
0.250,0.02016585,0.00,28.07901,1000000.00000
0.250,0.02016585,0.26,23.24870,1000000.00000
0.250,0.02016585,0.02,21.96688,1000000.00000
0.250,0.02016585,0.24,82.01822,1000000.00000
0.250,0.02016585,0.43,139.59497,1000000.00000
0.250,0.02016585,0.52,110.85537,324940.95138
0.250,0.02016585,0.60,49.18671,96221.68946
0.250,0.02016585,0.06,147.24266,1000000.00000
0.250,0.02016585,0.12,153.54170,1000000.00000
0.250,0.02016585,0.22,135.60807,1000000.00000
0.250,0.02016585,0.04,101.02990,1000000.00000
0.250,0.02016585,0.50,152.85522,1000000.00000
0.250,0.02016585,0.41,31.74966,1000000.00000
0.250,0.02016585,0.37,69.10042,1000000.00000
0.250,0.02016585,0.52,57.37545,1000000.00000
0.250,0.02016585,0.00,32.72849,1000000.00000
0.250,0.02016585,0.26,150.89917,1000000.00000
0.250,0.02016585,0.32,96.67918,1000000.00000
0.250,0.02016585,0.07,45.32081,1000000.00000
0.250,0.02016585,0.01,79.22745,1000000.00000
0.250,0.02016585,0.25,148.05670,1000000.00000
0.250,0.02016585,0.35,11.40750,1000000.00000
0.250,0.02016585,0.03,48.84283,1000000.00000
0.250,0.02016585,0.53,19.88534,1000000.00000
0.250,0.02016585,0.31,134.54477,1000000.00000
0.250,0.02016585,0.23,156.34784,1000000.00000
0.250,0.02016585,0.47,29.93101,1000000.00000
0.250,0.02016585,0.49,138.76420,1000000.00000
0.250,0.02016585,0.51,125.53565,1000000.00000
0.250,0.02016585,0.45,37.41953,1000000.00000
0.250,0.02016585,0.31,80.53423,1000000.00000
0.250,0.02016585,0.03,64.21560,1000000.00000
0.250,0.02016585,0.35,45.83532,1000000.00000
0.250,0.02016585,0.35,145.77740,1000000.00000
0.250,0.02016585,0.33,27.51465,1000000.00000
0.250,0.02016585,0.31,111.28586,1000000.00000
0.250,0.02016585,0.29,161.42191,1000000.00000
0.250,0.02016585,0.52,159.47600,1000000.00000
0.250,0.02016585,0.12,173.45160,1000000.00000
0.250,0.02016585,0.38,44.72805,1000000.00000
0.250,0.02016585,0.08,124.36879,1000000.00000
0.250,0.02016585,0.46,46.41978,1000000.00000
0.250,0.02016585,0.06,75.13398,1000000.00000
0.250,0.02016585,0.60,49.25280,681135.16412
0.250,0.02016585,0.50,33.32393,1000000.00000
0.250,0.02016585,0.58,113.72643,1000000.00000
0.250,0.02016585,0.09,95.33710,1000000.00000
